<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPZ.US,D,20250613,000000,24.7613,25.27,24.76,24.7613,21063,0
GPZ.US,D,20250616,000000,25.99,28.58,25.041,25.0635,419545,0
GPZ.US,D,20250617,000000,24.89,25,24.505,24.5946,143119,0
GPZ.US,D,20250618,000000,24.6508,27.13,24.6508,24.9292,72984,0
GPZ.US,D,20250620,000000,25.1,25.94,24.91,24.9383,84465,0
GPZ.US,D,20250623,000000,24.77,24.97,24.35,24.97,59039,0
GPZ.US,D,20250624,000000,25.2999,25.95,25.2999,25.901,119235,0
GPZ.US,D,20250625,000000,25.91,25.92,25.6957,25.7366,12057,0
GPZ.US,D,20250626,000000,25.9,26.31,25.9,26.28,41122,0
GPZ.US,D,20250627,000000,26.37,26.79,26.37,26.5581,36657,0
GPZ.US,D,20250630,000000,26.56,26.69,26.31,26.4302,21389,0
GPZ.US,D,20250701,000000,26.68,26.68,26,26.5841,27188,0
GPZ.US,D,20250702,000000,26.36,26.88,26.29,26.8,33909,0
GPZ.US,D,20250703,000000,27.13,27.35,27,27.215,39309,0
GPZ.US,D,20250707,000000,27.07,27.1446,26.6,26.7103,27614,0
GPZ.US,D,20250708,000000,26.82,27.3577,26.75,27.07,60553,0
GPZ.US,D,20250709,000000,27.19,27.31,27.0867,27.29,30740,0
GPZ.US,D,20250710,000000,27.32,28.93,27.31,27.9,64533,0
GPZ.US,D,20250711,000000,27.58,27.68,27.5,27.59,29406,0
GPZ.US,D,20250714,000000,27.48,27.71,27.44,27.6737,14429,0
GPZ.US,D,20250715,000000,27.69,27.69,27.22,27.22,50402,0
GPZ.US,D,20250716,000000,27.53,28.34,27.5154,28.22,69141,0
GPZ.US,D,20250717,000000,28.17,28.98,28.17,28.96,58293,0
GPZ.US,D,20250718,000000,29.08,29.18,28.5896,28.6221,34661,0
GPZ.US,D,20250721,000000,28.52,28.66,28.32,28.32,18701,0
