<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLUX.US,D,20250626,000000,25.7324,25.7324,25.579,25.7324,253985,0
BLUX.US,D,20250627,000000,25.79,25.91,25.71,25.8146,201433,0
BLUX.US,D,20250630,000000,25.88,25.94,25.8366,25.9174,79637,0
BLUX.US,D,20250701,000000,25.89,26.11,25.74,26.0251,70047,0
BLUX.US,D,20250702,000000,25.99,26.2045,25.99,26.2045,67490,0
BLUX.US,D,20250703,000000,26.35,26.42,26.35,26.392,19375,0
BLUX.US,D,20250707,000000,26.3,26.3,26.09,26.15,63092,0
BLUX.US,D,20250708,000000,26.24,26.2501,26.19,26.2109,8785,0
BLUX.US,D,20250709,000000,26.32,26.36,26.23,26.3575,67808,0
BLUX.US,D,20250710,000000,26.34,26.52,26.34,26.4521,44131,0
BLUX.US,D,20250711,000000,26.31,26.36,26.2707,26.31,90349,0
BLUX.US,D,20250714,000000,26.2755,26.37,26.27,26.3573,30758,0
BLUX.US,D,20250715,000000,26.3402,26.37,26.1244,26.1244,63166,0
BLUX.US,D,20250716,000000,26.1,26.21,25.9,26.1943,76140,0
BLUX.US,D,20250717,000000,26.255,26.4234,26.255,26.411,19592,0
BLUX.US,D,20250718,000000,26.45,26.47,26.34,26.3884,83123,0
BLUX.US,D,20250721,000000,26.49,26.53,26.38,26.38,57674,0
