<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FBUF.US,60,20240412,170000,24.85,24.85,24.85,24.85,200,0
FBUF.US,60,20240412,180000,24.7904,24.7904,24.7904,24.7904,100,0
FBUF.US,60,20240412,200000,24.7501,24.7501,24.7257,24.7499,1079,0
FBUF.US,60,20240415,160000,25.05,25.05,24.8337,24.8337,528,0
FBUF.US,60,20240415,170000,24.83,24.83,24.78,24.78,300,0
FBUF.US,60,20240415,180000,24.82,24.82,24.82,24.82,786,0
FBUF.US,60,20240415,190000,24.78,24.78,24.75,24.75,400,0
FBUF.US,60,20240415,200000,24.74,24.74,24.63,24.63,1300,0
FBUF.US,60,20240415,210000,24.62,24.62,24.61,24.61,200,0
FBUF.US,60,20240415,220000,24.6,24.61,24.59,24.59,400,0
FBUF.US,60,20240416,160000,24.58,24.58,24.58,24.58,100,0
FBUF.US,60,20240416,170000,24.57,24.57,24.57,24.57,1500,0
FBUF.US,60,20240416,220000,24.61,24.62,24.54,24.54,2500,0
FBUF.US,60,20240417,160000,24.63,24.63,24.59,24.59,300,0
FBUF.US,60,20240417,210000,24.5099,24.5099,24.49,24.49,4316,0
FBUF.US,60,20240418,220000,24.48,24.48,24.43,24.43,1100,0
FBUF.US,60,20240419,180000,24.4,24.4,24.4,24.4,200,0
FBUF.US,60,20240422,170000,24.35,24.35,24.35,24.35,200,0
FBUF.US,60,20240422,200000,24.37,24.4099,24.37,24.4099,205,0
FBUF.US,60,20240422,220000,24.43,24.43,24.395,24.4,1000,0
FBUF.US,60,20240423,170000,24.51,24.51,24.51,24.51,200,0
FBUF.US,60,20240424,180000,24.5,24.5,24.5,24.5,100,0
FBUF.US,60,20240424,190000,24.45,24.45,24.4,24.4,200,0
FBUF.US,60,20240424,220000,24.52,24.52,24.52,24.52,3000,0
FBUF.US,60,20240425,180000,24.31,24.31,24.31,24.31,400,0
FBUF.US,60,20240425,220000,24.42,24.42,24.42,24.42,200,0
FBUF.US,60,20240426,200000,24.62,24.62,24.62,24.62,1217,0
FBUF.US,60,20240426,210000,24.62,24.62,24.62,24.62,100,0
FBUF.US,60,20240426,220000,24.63,24.63,24.63,24.63,100,0
FBUF.US,60,20240429,160000,24.83,24.83,24.5815,24.5815,661,0
FBUF.US,60,20240429,210000,24.63,24.63,24.63,24.63,1386,0
FBUF.US,60,20240430,160000,24.56,24.56,24.56,24.56,205,0
FBUF.US,60,20240430,190000,24.5,24.5,24.5,24.5,100,0
FBUF.US,60,20240430,220000,24.44,24.44,24.44,24.44,200,0
FBUF.US,60,20240501,170000,24.3685,24.3685,24.3685,24.3685,200,0
FBUF.US,60,20240501,210000,24.5299,24.5299,24.5299,24.5299,200,0
FBUF.US,60,20240501,220000,24.43,24.43,24.33,24.33,799,0
FBUF.US,60,20240502,200000,24.45,24.45,24.45,24.45,100,0
