<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BKD.US,60,20240411,160000,6.7,6.77,6.67,6.67,43145,0
BKD.US,60,20240411,170000,6.67,6.68,6.58,6.59,155347,0
BKD.US,60,20240411,180000,6.59,6.655,6.585,6.65,111386,0
BKD.US,60,20240411,190000,6.655,6.655,6.625,6.645,56810,0
BKD.US,60,20240411,200000,6.645,6.68,6.63,6.63,93836,0
BKD.US,60,20240411,210000,6.635,6.66,6.57,6.6,145753,0
BKD.US,60,20240411,220000,6.605,6.66,6.6,6.65,367260,0
BKD.US,60,20240412,160000,6.65,6.66,6.605,6.63,118640,0
BKD.US,60,20240412,170000,6.63,6.635,6.515,6.545,419978,0
BKD.US,60,20240412,180000,6.54,6.545,6.505,6.515,81747,0
BKD.US,60,20240412,190000,6.52,6.53,6.43,6.445,305744,0
BKD.US,60,20240412,200000,6.45,6.51,6.43,6.465,410068,0
BKD.US,60,20240412,210000,6.465,6.495,6.44,6.475,308930,0
BKD.US,60,20240412,220000,6.47,6.52,6.45,6.47,896740,0
BKD.US,60,20240415,160000,6.49,6.59,6.49,6.545,71561,0
BKD.US,60,20240415,170000,6.53,6.56,6.495,6.495,74502,0
BKD.US,60,20240415,180000,6.49,6.54,6.48,6.535,96665,0
BKD.US,60,20240415,190000,6.53,6.545,6.49,6.49,62994,0
BKD.US,60,20240415,200000,6.48,6.48,6.38,6.4,123759,0
BKD.US,60,20240415,210000,6.395,6.405,6.3,6.32,175454,0
BKD.US,60,20240415,220000,6.315,6.36,6.3,6.32,428715,0
BKD.US,60,20240416,160000,6.31,6.32,6.23,6.265,104906,0
BKD.US,60,20240416,170000,6.265,6.31,6.245,6.295,107754,0
BKD.US,60,20240416,180000,6.29,6.47,6.29,6.415,243891,0
BKD.US,60,20240416,190000,6.41,6.41,6.3727,6.395,68768,0
BKD.US,60,20240416,200000,6.4,6.405,6.335,6.355,168083,0
BKD.US,60,20240416,210000,6.355,6.4,6.32,6.37,194809,0
BKD.US,60,20240416,220000,6.365,6.37,6.29,6.3,648098,0
BKD.US,60,20240417,160000,6.38,6.39,6.335,6.385,20371,0
BKD.US,60,20240417,170000,6.38,6.43,6.355,6.415,170528,0
BKD.US,60,20240417,180000,6.415,6.44,6.395,6.43,96307,0
BKD.US,60,20240417,190000,6.4299,6.43,6.34,6.36,199991,0
BKD.US,60,20240417,200000,6.36,6.43,6.3599,6.425,125264,0
BKD.US,60,20240417,210000,6.43,6.49,6.4299,6.4499,107349,0
BKD.US,60,20240417,220000,6.44,6.47,6.43,6.46,614994,0
BKD.US,60,20240418,160000,6.47,6.48,6.39,6.44,25389,0
BKD.US,60,20240418,170000,6.45,6.57,6.42,6.57,90562,0
BKD.US,60,20240418,180000,6.57,6.63,6.54,6.59,135416,0
BKD.US,60,20240418,190000,6.59,6.595,6.535,6.545,124708,0
BKD.US,60,20240418,200000,6.545,6.56,6.47,6.49,81975,0
BKD.US,60,20240418,210000,6.495,6.51,6.455,6.48,85135,0
BKD.US,60,20240418,220000,6.48,6.54,6.47,6.52,670436,0
BKD.US,60,20240419,160000,6.51,6.63,6.51,6.63,65804,0
BKD.US,60,20240419,170000,6.625,6.64,6.545,6.545,43707,0
BKD.US,60,20240419,180000,6.54,6.54,6.495,6.51,36025,0
BKD.US,60,20240419,190000,6.505,6.52,6.44,6.47,144138,0
BKD.US,60,20240419,200000,6.475,6.48,6.385,6.39,183393,0
BKD.US,60,20240419,210000,6.39,6.39,6.35,6.375,152070,0
BKD.US,60,20240419,220000,6.375,6.5,6.375,6.4825,199214,0
BKD.US,60,20240422,160000,6.55,6.58,6.5,6.58,24821,0
BKD.US,60,20240422,170000,6.58,6.635,6.55,6.55,81413,0
BKD.US,60,20240422,180000,6.555,6.595,6.54,6.595,56858,0
BKD.US,60,20240422,190000,6.6,6.65,6.5901,6.65,89991,0
BKD.US,60,20240422,200000,6.65,6.72,6.64,6.72,75161,0
BKD.US,60,20240422,210000,6.72,6.74,6.625,6.635,189992,0
BKD.US,60,20240422,220000,6.63,6.645,6.57,6.6,616293,0
BKD.US,60,20240423,160000,6.58,6.8,6.57,6.74,102955,0
BKD.US,60,20240423,170000,6.7597,6.83,6.74,6.805,77851,0
BKD.US,60,20240423,180000,6.805,6.805,6.76,6.775,47998,0
BKD.US,60,20240423,190000,6.77,6.83,6.755,6.82,47404,0
BKD.US,60,20240423,200000,6.82,6.905,6.82,6.875,77796,0
BKD.US,60,20240423,210000,6.875,6.9,6.84,6.86,183419,0
BKD.US,60,20240423,220000,6.855,6.93,6.82,6.93,473472,0
BKD.US,60,20240424,160000,6.93,6.96,6.825,6.83,60571,0
BKD.US,60,20240424,170000,6.825,6.905,6.81,6.825,98486,0
BKD.US,60,20240424,180000,6.825,6.86,6.81,6.83,59386,0
BKD.US,60,20240424,190000,6.825,6.84,6.8,6.83,29506,0
BKD.US,60,20240424,200000,6.825,6.845,6.8,6.82,47784,0
BKD.US,60,20240424,210000,6.82,6.82,6.76,6.765,47654,0
BKD.US,60,20240424,220000,6.76,6.82,6.75,6.75,566983,0
BKD.US,60,20240425,160000,6.7,6.78,6.64,6.76,75992,0
BKD.US,60,20240425,170000,6.7605,6.805,6.75,6.755,104031,0
BKD.US,60,20240425,180000,6.75,6.775,6.7125,6.76,74700,0
BKD.US,60,20240425,190000,6.76,6.77,6.74,6.745,58978,0
BKD.US,60,20240425,200000,6.75,6.78,6.74,6.7775,27783,0
BKD.US,60,20240425,210000,6.77,6.78,6.75,6.775,45938,0
BKD.US,60,20240425,220000,6.77,6.89,6.76,6.86,552123,0
BKD.US,60,20240426,160000,6.9,7.02,6.89,6.9506,78638,0
BKD.US,60,20240426,170000,6.955,7,6.92,6.93,116607,0
BKD.US,60,20240426,180000,6.935,6.94,6.88,6.905,64853,0
BKD.US,60,20240426,190000,6.905,6.985,6.895,6.975,117793,0
BKD.US,60,20240426,200000,6.98,6.99,6.91,6.98,633932,0
BKD.US,60,20240426,210000,6.98,6.99,6.94,6.97,211203,0
BKD.US,60,20240426,220000,6.97,6.99,6.95,6.96,462369,0
BKD.US,60,20240429,160000,7.01,7.07,6.96,6.98,57054,0
BKD.US,60,20240429,170000,6.985,7.005,6.92,6.925,50996,0
BKD.US,60,20240429,180000,6.925,6.95,6.885,6.915,58500,0
BKD.US,60,20240429,190000,6.91,6.915,6.88,6.88,62132,0
BKD.US,60,20240429,200000,6.88,6.91,6.88,6.9,45050,0
BKD.US,60,20240429,210000,6.9,6.91,6.875,6.89,54653,0
BKD.US,60,20240429,220000,6.89,6.93,6.85,6.91,541198,0
BKD.US,60,20240430,160000,6.9,7.03,6.84,6.955,337907,0
BKD.US,60,20240430,170000,6.955,7.07,6.94,6.955,98314,0
BKD.US,60,20240430,180000,6.955,6.955,6.91,6.93,54535,0
BKD.US,60,20240430,190000,6.935,6.94,6.895,6.91,56534,0
BKD.US,60,20240430,200000,6.905,6.96,6.9,6.955,71163,0
BKD.US,60,20240430,210000,6.95,6.95,6.92,6.945,54581,0
BKD.US,60,20240430,220000,6.945,6.945,6.79,6.79,1067555,0
BKD.US,60,20240501,160000,6.76,6.98,6.76,6.95,145689,0
BKD.US,60,20240501,170000,6.95,6.99,6.935,6.965,131548,0
BKD.US,60,20240501,180000,6.97,7.02,6.91,6.94,1219841,0
BKD.US,60,20240501,190000,6.935,7.13,6.93,7.115,324060,0
BKD.US,60,20240501,200000,7.115,7.135,7.06,7.065,141911,0
BKD.US,60,20240501,210000,7.065,7.225,7.01,7.215,268213,0
BKD.US,60,20240501,220000,7.215,7.25,7.01,7.01,782246,0
BKD.US,60,20240502,160000,7.1,7.1,7.01,7.0548,38243,0
BKD.US,60,20240502,170000,7.055,7.055,6.99,7.03,89757,0
BKD.US,60,20240502,180000,7.025,7.04,6.97,7.03,89671,0
BKD.US,60,20240502,190000,7.0225,7.075,7,7.03,715742,0
BKD.US,60,20240502,200000,7.035,7.09,7.03,7.05,627043,0
BKD.US,60,20240502,210000,7.05,7.125,7.03,7.08,754021,0
BKD.US,60,20240502,220000,7.08,7.21,7.07,7.19,1086789,0
BKD.US,60,20240506,160000,7.57,7.62,7.5,7.5,931052,0
BKD.US,60,20240506,170000,7.5,7.58,7.44,7.465,114772,0
BKD.US,60,20240506,180000,7.465,7.465,7.33,7.37,153881,0
BKD.US,60,20240506,190000,7.37,7.41,7.365,7.4,71810,0
BKD.US,60,20240506,200000,7.39,7.405,7.305,7.33,291612,0
BKD.US,60,20240506,210000,7.325,7.34,7.26,7.26,200195,0
BKD.US,60,20240506,220000,7.26,7.31,7.18,7.3,1036856,0
BKD.US,60,20240507,160000,7.3,7.41,7.2,7.24,109714,0
BKD.US,60,20240507,170000,7.24,7.3,7.225,7.295,285362,0
BKD.US,60,20240507,180000,7.295,7.42,7.285,7.4,386516,0
BKD.US,60,20240507,190000,7.4,7.4,7.335,7.365,198535,0
BKD.US,60,20240507,200000,7.365,7.38,7.335,7.34,228808,0
BKD.US,60,20240507,210000,7.34,7.355,7.295,7.33,447038,0
BKD.US,60,20240507,220000,7.335,7.385,7.325,7.36,994202,0
BKD.US,60,20240508,160000,7.22,7.55,7.06,7.16,342761,0
BKD.US,60,20240508,170000,7.15,7.342,7.02,7.045,346638,0
BKD.US,60,20240508,180000,7.045,7.24,7.045,7.16,405024,0
BKD.US,60,20240508,190000,7.17,7.22,6.985,7.03,194907,0
BKD.US,60,20240508,200000,7.0202,7.05,6.97,6.97,265625,0
BKD.US,60,20240508,210000,6.965,7,6.9,6.985,283722,0
BKD.US,60,20240508,220000,6.985,7.12,6.98,7,949838,0
BKD.US,60,20240509,160000,7.05,7.14,6.95,6.975,100619,0
BKD.US,60,20240509,170000,6.98,7.0075,6.9,6.935,226907,0
BKD.US,60,20240509,180000,6.94,6.965,6.88,6.965,166509,0
BKD.US,60,20240509,190000,6.965,7.02,6.95,6.985,81191,0
BKD.US,60,20240509,200000,6.985,7,6.97,6.985,86980,0
BKD.US,60,20240509,210000,6.98,7.04,6.97,7.015,87349,0
BKD.US,60,20240509,220000,7.015,7.28,7.01,7.17,1571019,0
BKD.US,60,20240510,160000,7.19,7.25,7.08,7.085,111516,0
BKD.US,60,20240510,170000,7.08,7.08,6.975,7.0099,152085,0
BKD.US,60,20240510,180000,7.005,7.0775,7.005,7.045,109991,0
BKD.US,60,20240510,190000,7.05,7.06,7.02,7.055,74474,0
BKD.US,60,20240510,200000,7.06,7.06,7.04,7.06,86830,0
BKD.US,60,20240510,210000,7.055,7.065,7.03,7.045,107925,0
BKD.US,60,20240510,220000,7.05,7.09,7.04,7.06,551136,0
BKD.US,60,20240513,160000,7.14,7.14,6.99,7.035,45385,0
BKD.US,60,20240513,170000,7.03,7.09,6.995,7.07,422701,0
BKD.US,60,20240513,180000,7.07,7.11,7.03,7.045,127990,0
BKD.US,60,20240513,190000,7.045,7.065,7.03,7.055,50161,0
BKD.US,60,20240513,200000,7.055,7.065,7.03,7.04,95453,0
BKD.US,60,20240513,210000,7.045,7.045,6.96,7.02,440233,0
BKD.US,60,20240513,220000,7.015,7.05,6.99,6.99,474900,0
BKD.US,60,20240514,160000,7.05,7.28,7.04,7.095,69496,0
BKD.US,60,20240514,170000,7.09,7.12,7.04,7.11,199072,0
BKD.US,60,20240514,180000,7.105,7.135,7.08,7.105,241769,0
BKD.US,60,20240514,190000,7.11,7.13,7.095,7.11,56010,0
BKD.US,60,20240514,200000,7.11,7.115,7.06,7.085,54770,0
BKD.US,60,20240514,210000,7.085,7.13,7.085,7.105,52287,0
BKD.US,60,20240514,220000,7.105,7.16,7.09,7.15,731580,0
BKD.US,60,20240515,160000,7.25,7.25,7.16,7.19,50357,0
BKD.US,60,20240515,170000,7.195,7.195,7.0009,7.065,302618,0
BKD.US,60,20240515,180000,7.065,7.145,7.055,7.08,137165,0
BKD.US,60,20240515,190000,7.09,7.09,7.02,7.025,77841,0
BKD.US,60,20240515,200000,7.025,7.085,7.02,7.065,186419,0
BKD.US,60,20240515,210000,7.065,7.1,7.065,7.08,78678,0
BKD.US,60,20240515,220000,7.07,7.12,7.06,7.12,381665,0
BKD.US,60,20240516,160000,7.09,7.105,7.03,7.03,38751,0
BKD.US,60,20240516,170000,7.03,7.05,7,7.015,57597,0
BKD.US,60,20240516,180000,7.02,7.06,6.98,7.03,104633,0
BKD.US,60,20240516,190000,7.03,7.06,7.01,7.03,95272,0
BKD.US,60,20240516,200000,7.03,7.045,7.005,7.04,80094,0
BKD.US,60,20240516,210000,7.05,7.085,7.02,7.075,81790,0
BKD.US,60,20240516,220000,7.075,7.08,7.04,7.07,387518,0
BKD.US,60,20240517,160000,7.07,7.08,7.01,7.02,89201,0
BKD.US,60,20240517,170000,7.02,7.04,6.98,6.99,146354,0
BKD.US,60,20240517,180000,6.99,7.005,6.96,6.96,106191,0
BKD.US,60,20240517,190000,6.96,6.97,6.94,6.955,164421,0
BKD.US,60,20240517,200000,6.95,6.97,6.93,6.93,88546,0
BKD.US,60,20240517,210000,6.935,6.94,6.91,6.93,121514,0
BKD.US,60,20240517,220000,6.93,6.96,6.86,6.91,1282355,0
BKD.US,60,20240520,160000,6.86,6.95,6.84,6.84,57556,0
BKD.US,60,20240520,170000,6.84,6.895,6.815,6.895,82879,0
BKD.US,60,20240520,180000,6.895,6.946,6.88,6.93,75243,0
BKD.US,60,20240520,190000,6.93,6.945,6.83,6.845,82150,0
BKD.US,60,20240520,200000,6.845,6.855,6.815,6.825,55339,0
BKD.US,60,20240520,210000,6.82,6.85,6.815,6.85,82115,0
BKD.US,60,20240520,220000,6.84,6.88,6.84,6.86,366671,0
BKD.US,60,20240521,160000,6.86,6.891,6.82,6.845,32179,0
BKD.US,60,20240521,170000,6.845,6.89,6.815,6.84,417696,0
BKD.US,60,20240521,180000,6.83,6.836,6.81,6.825,105014,0
BKD.US,60,20240521,190000,6.82,6.85,6.82,6.845,117418,0
BKD.US,60,20240521,200000,6.845,6.905,6.83,6.895,603788,0
BKD.US,60,20240521,210000,6.89,6.93,6.89,6.91,66700,0
BKD.US,60,20240521,220000,6.915,6.93,6.89,6.89,381197,0
BKD.US,60,20240522,160000,6.83,6.97,6.83,6.91,35167,0
BKD.US,60,20240522,170000,6.9,6.92,6.86,6.875,43509,0
BKD.US,60,20240522,180000,6.875,6.885,6.835,6.855,400868,0
BKD.US,60,20240522,190000,6.86,6.89,6.855,6.865,198551,0
