<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMPB.US,60,20241217,170000,25.48,25.48,25.48,25.48,100,0
EMPB.US,60,20241217,180000,25.42,25.42,25.42,25.42,1000,0
EMPB.US,60,20241217,220000,25.55,25.55,25.55,25.55,1773,0
EMPB.US,60,20241218,180000,25.55,25.55,25.55,25.55,10234,0
EMPB.US,60,20241218,190000,25.54,25.54,25.54,25.54,29885,0
EMPB.US,60,20241218,220000,25.35,25.35,25.29,25.29,7900,0
EMPB.US,60,20241219,170000,25.35,25.4,25.31,25.31,2448,0
EMPB.US,60,20241219,190000,25.3,25.3,25.3,25.3,41977,0
EMPB.US,60,20241220,170000,25.3,25.32,25.3,25.32,495,0
EMPB.US,60,20241220,200000,25.41,25.41,25.41,25.41,41044,0
EMPB.US,60,20241223,210000,25.6,25.6,25.6,25.6,8189,0
EMPB.US,60,20241226,220000,25.754,25.754,25.754,25.754,1000,0
EMPB.US,60,20241227,170000,25.67,25.67,25.56,25.6,2795,0
EMPB.US,60,20241227,180000,25.6,25.62,25.6,25.62,1175,0
EMPB.US,60,20241227,190000,25.67,25.67,25.67,25.67,1000,0
EMPB.US,60,20241230,180000,25.426,25.43,25.426,25.43,1285,0
EMPB.US,60,20241231,170000,25.4,25.4,25.4,25.4,616,0
EMPB.US,60,20241231,190000,25.39,25.39,25.39,25.39,900,0
EMPB.US,60,20241231,200000,25.4251,25.4251,25.4251,25.4251,180,0
EMPB.US,60,20241231,220000,25.3,25.33,25.3,25.33,2776,0
EMPB.US,60,20250102,170000,25.4,25.4001,25.4,25.4001,200,0
EMPB.US,60,20250102,180000,25.35,25.35,25.35,25.35,1800,0
EMPB.US,60,20250102,190000,25.43,25.43,25.43,25.43,100,0
EMPB.US,60,20250103,170000,25.585,25.585,25.585,25.585,200,0
EMPB.US,60,20250103,180000,25.8,25.81,25.8,25.81,1700,0
EMPB.US,60,20250103,190000,25.65,25.66,25.65,25.66,565,0
EMPB.US,60,20250106,210000,25.98,25.98,25.96,25.96,600,0
EMPB.US,60,20250106,220000,25.91,25.915,25.91,25.915,3000,0
EMPB.US,60,20250107,190000,25.61,25.61,25.61,25.61,2500,0
EMPB.US,60,20250108,180000,25.3704,25.3704,25.3704,25.3704,2000,0
EMPB.US,60,20250108,190000,25.4,25.4,25.34,25.34,3594,0
EMPB.US,60,20250108,200000,25.34,25.34,25.34,25.34,985,0
EMPB.US,60,20250108,210000,25.4,25.4,25.4,25.4,793,0
EMPB.US,60,20250108,220000,25.4296,25.4296,25.4296,25.4296,1000,0
EMPB.US,60,20250110,170000,25.15,25.22,25.15,25.22,3100,0
EMPB.US,60,20250110,220000,25.1705,25.19,25.1705,25.1705,1984,0
EMPB.US,60,20250113,170000,24.81,24.81,24.81,24.81,2009,0
EMPB.US,60,20250113,190000,24.87,24.87,24.87,24.87,1079,0
EMPB.US,60,20250115,170000,25.01,25.15,25.01,25.15,200,0
EMPB.US,60,20250115,180000,25.1,25.1,25.1,25.1,1000,0
EMPB.US,60,20250115,200000,25.1174,25.1174,25.1174,25.1174,2000,0
EMPB.US,60,20250115,220000,25.12,25.12,25.12,25.12,100,0
EMPB.US,60,20250116,170000,25.1,25.1,25.1,25.1,2300,0
EMPB.US,60,20250117,210000,25.4,25.4,25.4,25.4,100,0
EMPB.US,60,20250122,170000,25.96,25.96,25.96,25.96,100,0
EMPB.US,60,20250122,180000,25.91,25.91,25.91,25.91,6250,0
EMPB.US,60,20250122,220000,25.97,25.97,25.97,25.97,100,0
EMPB.US,60,20250123,180000,25.95,25.95,25.95,25.95,100,0
EMPB.US,60,20250124,170000,26.07,26.07,26.07,26.07,100,0
EMPB.US,60,20250124,220000,26.02,26.02,26.02,26.02,1000,0
EMPB.US,60,20250129,170000,25.44,25.57,25.44,25.55,2590,0
EMPB.US,60,20250129,200000,25.53,25.53,25.53,25.53,200,0
EMPB.US,60,20250129,210000,25.49,25.49,25.47,25.47,876,0
EMPB.US,60,20250129,220000,25.55,25.56,25.55,25.56,13300,0
EMPB.US,60,20250130,160000,25.89,25.89,25.89,25.89,3750,0
EMPB.US,60,20250130,170000,25.78,25.78,25.78,25.78,100,0
