<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INFO.US,60,20241011,170000,20.18,20.18,20.18,20.18,1000,0
INFO.US,60,20241011,190000,20.21,20.21,20.21,20.21,300,0
INFO.US,60,20241014,160000,20.34,20.34,20.34,20.34,102,0
INFO.US,60,20241014,190000,20.39,20.39,20.39,20.39,100,0
INFO.US,60,20241015,160000,20.45,20.45,20.45,20.45,200,0
INFO.US,60,20241015,190000,20.3557,20.3699,20.355,20.36,2058,0
INFO.US,60,20241015,200000,20.32,20.32,20.32,20.32,392,0
INFO.US,60,20241015,220000,20.2684,20.2684,20.2684,20.2684,100,0
INFO.US,60,20241016,180000,20.28,20.28,20.28,20.28,296,0
INFO.US,60,20241016,190000,20.29,20.29,20.29,20.29,100,0
INFO.US,60,20241016,210000,20.3452,20.3452,20.3452,20.3452,100,0
INFO.US,60,20241016,220000,20.3284,20.3368,20.3284,20.3368,300,0
INFO.US,60,20241017,170000,20.39,20.39,20.36,20.36,2228,0
INFO.US,60,20241017,190000,20.4,20.4,20.4,20.4,200,0
INFO.US,60,20241029,150000,20.18,20.18,20.17,20.18,400,0
INFO.US,60,20241029,160000,20.26,20.26,20.26,20.26,100,0
INFO.US,60,20241029,210000,20.31,20.31,20.25,20.25,1162,0
INFO.US,60,20241101,150000,20.26,20.26,19.97,19.97,900,0
INFO.US,60,20241101,160000,20,20.04,20,20.04,300,0
INFO.US,60,20241101,210000,19.91,19.91,19.91,19.91,400,0
INFO.US,60,20241104,160000,19.88,20.14,19.88,19.92,800,0
INFO.US,60,20241104,180000,19.94,19.94,19.94,19.94,600,0
INFO.US,60,20241104,220000,19.92,19.92,19.92,19.92,200,0
INFO.US,60,20241105,160000,19.98,19.98,19.98,19.98,100,0
INFO.US,60,20241105,170000,20.06,20.06,20.05,20.05,200,0
INFO.US,60,20241105,220000,20.15,20.15,20.15,20.15,100,0
INFO.US,60,20241106,160000,20.15,20.55,20.15,20.55,300,0
INFO.US,60,20241106,170000,20.52,20.56,20.48,20.48,600,0
INFO.US,60,20241106,180000,20.5,20.5,20.5,20.5,100,0
INFO.US,60,20241106,210000,20.585,20.585,20.58,20.58,200,0
INFO.US,60,20241106,220000,20.59,20.59,20.59,20.59,400,0
INFO.US,60,20241107,160000,20.66,20.71,20.66,20.68,1000,0
INFO.US,60,20241107,220000,20.82,20.82,20.82,20.82,200,0
INFO.US,60,20241108,160000,20.81,20.85,20.81,20.85,600,0
INFO.US,60,20241108,190000,20.86,20.86,20.86,20.86,100,0
INFO.US,60,20241113,220000,20.89,20.91,20.85,20.86,1605,0
INFO.US,60,20241119,160000,20.6,20.6,20.6,20.6,100,0
INFO.US,60,20241119,190000,20.53,20.53,20.53,20.53,100,0
INFO.US,60,20241119,220000,20.55,20.55,20.55,20.55,200,0
INFO.US,60,20241120,170000,20.46,20.46,20.46,20.46,300,0
INFO.US,60,20241120,220000,20.55,20.55,20.55,20.55,300,0
INFO.US,60,20241121,160000,20.91,20.91,20.63,20.63,200,0
INFO.US,60,20241121,220000,20.71,20.71,20.71,20.71,100,0
INFO.US,60,20241125,160000,20.96,20.96,20.89,20.89,200,0
INFO.US,60,20241125,170000,20.84,20.84,20.84,20.84,200,0
INFO.US,60,20241125,180000,20.79,20.79,20.79,20.79,100,0
