<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CYH.US,60,20240411,160000,3.02,3.05,2.99,3.02,151869,0
CYH.US,60,20240411,170000,3.02,3.04,3,3.03,184758,0
CYH.US,60,20240411,180000,3.03,3.05,3.01,3.05,84796,0
CYH.US,60,20240411,190000,3.045,3.05,3.025,3.03,42862,0
CYH.US,60,20240411,200000,3.035,3.06,3.02,3.035,137623,0
CYH.US,60,20240411,210000,3.035,3.05,3.015,3.025,175249,0
CYH.US,60,20240411,220000,3.02,3.04,3.02,3.03,266050,0
CYH.US,60,20240412,160000,3.01,3.0597,2.95,3.04,230801,0
CYH.US,60,20240412,170000,3.04,3.04,2.995,3.01,89781,0
CYH.US,60,20240412,180000,3.01,3.015,2.995,3.005,72311,0
CYH.US,60,20240412,190000,3,3.005,2.98,2.995,136602,0
CYH.US,60,20240412,200000,2.995,2.995,2.97,2.98,157111,0
CYH.US,60,20240412,210000,2.98,2.99,2.96,2.97,148675,0
CYH.US,60,20240412,220000,2.97,3.01,2.96,3,253912,0
CYH.US,60,20240415,160000,3.01,3.03,2.98,3.005,50156,0
CYH.US,60,20240415,170000,3,3.0301,2.99,3.015,243274,0
CYH.US,60,20240415,180000,3.015,3.07,3,3,231342,0
CYH.US,60,20240415,190000,3.005,3.04,3,3,155089,0
CYH.US,60,20240415,200000,3,3.015,2.96,2.985,288323,0
CYH.US,60,20240415,210000,2.99,2.995,2.95,2.965,380566,0
CYH.US,60,20240415,220000,2.965,3,2.95,3,328498,0
CYH.US,60,20240416,160000,2.97,2.97,2.845,2.91,96230,0
CYH.US,60,20240416,170000,2.9,2.95,2.88,2.905,178717,0
CYH.US,60,20240416,180000,2.905,2.96,2.89,2.95,148202,0
CYH.US,60,20240416,190000,2.94,2.95,2.91,2.915,107500,0
CYH.US,60,20240416,200000,2.915,2.94,2.88,2.905,224374,0
CYH.US,60,20240416,210000,2.9087,2.94,2.89,2.94,293531,0
CYH.US,60,20240416,220000,2.94,2.97,2.9,2.91,472786,0
CYH.US,60,20240417,160000,2.98,3,2.93,2.98,109249,0
CYH.US,60,20240417,170000,2.985,3.015,2.97,2.9775,65874,0
CYH.US,60,20240417,180000,2.975,3.005,2.93,2.985,131838,0
CYH.US,60,20240417,190000,2.98,2.98,2.88,2.9,165175,0
CYH.US,60,20240417,200000,2.9,2.95,2.9,2.94,129128,0
CYH.US,60,20240417,210000,2.93,2.94,2.9,2.92,186902,0
CYH.US,60,20240417,220000,2.92,2.93,2.9,2.91,415141,0
CYH.US,60,20240418,160000,2.91,2.915,2.8,2.835,82568,0
CYH.US,60,20240418,170000,2.835,2.905,2.82,2.865,646762,0
CYH.US,60,20240418,180000,2.86,2.89,2.82,2.82,185378,0
CYH.US,60,20240418,190000,2.82,2.84,2.775,2.7825,171703,0
CYH.US,60,20240418,200000,2.785,2.7861,2.76,2.76,139610,0
CYH.US,60,20240418,210000,2.76,2.81,2.75,2.78,278047,0
CYH.US,60,20240418,220000,2.785,2.8,2.775,2.78,397979,0
CYH.US,60,20240419,160000,2.78,2.935,2.78,2.92,169228,0
CYH.US,60,20240419,170000,2.925,2.93,2.87,2.87,322277,0
CYH.US,60,20240419,180000,2.87,2.905,2.84,2.9,191749,0
CYH.US,60,20240419,190000,2.9,2.91,2.84,2.845,165647,0
CYH.US,60,20240419,200000,2.845,2.88,2.84,2.875,212653,0
CYH.US,60,20240419,210000,2.87,2.875,2.83,2.845,166821,0
CYH.US,60,20240419,220000,2.84,2.88,2.84,2.87,233501,0
CYH.US,60,20240422,160000,2.93,2.94,2.83,2.885,78885,0
CYH.US,60,20240422,170000,2.885,2.9,2.795,2.8,165180,0
CYH.US,60,20240422,180000,2.8,2.83,2.77,2.815,97789,0
CYH.US,60,20240422,190000,2.815,2.825,2.8,2.8,91670,0
CYH.US,60,20240422,200000,2.8,2.845,2.8,2.835,128365,0
CYH.US,60,20240422,210000,2.835,2.88,2.83,2.84,125137,0
CYH.US,60,20240422,220000,2.84,2.845,2.8,2.84,857457,0
CYH.US,60,20240423,160000,2.81,2.895,2.805,2.875,95431,0
CYH.US,60,20240423,170000,2.875,2.92,2.83,2.905,182469,0
CYH.US,60,20240423,180000,2.91,2.93,2.88,2.91,79878,0
CYH.US,60,20240423,190000,2.91,2.94,2.9,2.93,73181,0
CYH.US,60,20240423,200000,2.93,2.96,2.925,2.96,77046,0
CYH.US,60,20240423,210000,2.96,2.96,2.92,2.94,91128,0
CYH.US,60,20240423,220000,2.94,2.96,2.915,2.96,411884,0
CYH.US,60,20240424,160000,2.94,3,2.91,2.995,269814,0
CYH.US,60,20240424,170000,3,3.055,2.92,2.945,316332,0
CYH.US,60,20240424,180000,2.945,2.9499,2.9,2.915,108119,0
CYH.US,60,20240424,190000,2.915,2.985,2.9,2.97,299226,0
CYH.US,60,20240424,200000,2.96,3.005,2.96,2.985,121801,0
CYH.US,60,20240424,210000,2.985,3,2.95,2.95,219104,0
CYH.US,60,20240424,220000,2.955,3.04,2.94,3.03,954289,0
CYH.US,60,20240425,160000,3.2,3.4,3.1,3.205,550803,0
