<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CORX.US,60,20241212,210000,16.41,16.41,16.07,16.07,500,0
CORX.US,60,20241220,220000,16.145,16.1982,16.145,16.19,6350,0
CORX.US,60,20241223,200000,16.21,16.234,16.21,16.2115,6720,0
CORX.US,60,20241226,170000,16.5842,16.61,16.5842,16.61,3830,0
CORX.US,60,20241226,210000,16.76,16.76,16.76,16.76,100,0
CORX.US,60,20241230,160000,17.07,17.07,17.0542,17.0542,936,0
CORX.US,60,20241230,170000,16.96,16.96,16.96,16.96,300,0
CORX.US,60,20250106,200000,17.1,17.1,17.1,17.1,100,0
CORX.US,60,20250110,190000,17.73,17.73,17.73,17.73,200,0
CORX.US,60,20250114,170000,18.54,18.54,18.54,18.54,100,0
CORX.US,60,20250115,160000,18.541,18.541,18.541,18.541,200,0
CORX.US,60,20250131,190000,19.4,19.4,19.07,19.115,550,0
CORX.US,60,20250203,220000,19.171,19.171,19.171,19.171,100,0
CORX.US,60,20250210,170000,19.264,19.264,19.264,19.264,500,0
CORX.US,60,20250211,180000,19.8209,19.8209,19.8209,19.8209,769,0
CORX.US,60,20250211,190000,19.4,19.4,19.4,19.4,100,0
CORX.US,60,20250212,180000,19.3,19.3,19.3,19.3,100,0
CORX.US,60,20250212,200000,19.36,19.36,19.36,19.36,100,0
CORX.US,60,20250213,170000,19.41,19.41,19.29,19.29,200,0
CORX.US,60,20250214,220000,19.751,19.751,19.751,19.751,200,0
CORX.US,60,20250221,190000,19.6896,19.6896,19.6896,19.6896,101,0
CORX.US,60,20250225,160000,18.35,18.35,18.35,18.35,600,0
CORX.US,60,20250225,190000,18.4381,18.4381,18.4381,18.4381,769,0
CORX.US,60,20250226,180000,18.521,18.521,18.52,18.5201,1800,0
CORX.US,60,20250303,160000,16.55,16.55,16.55,16.55,100,0
CORX.US,60,20250303,200000,15.88,15.88,15.88,15.88,100,0
CORX.US,60,20250304,190000,15.45,15.45,15.45,15.45,100,0
CORX.US,60,20250305,180000,15.6541,15.6541,15.6541,15.6541,643,0
CORX.US,60,20250319,160000,16.071,16.126,16.07,16.126,799,0
CORX.US,60,20250325,170000,15.9,15.9,15.9,15.9,860,0
CORX.US,60,20250402,220000,15.85,15.89,15.81,15.81,615,0
CORX.US,60,20250407,210000,16.3999,16.3999,16.3999,16.3999,150,0
CORX.US,60,20250408,160000,16.541,16.541,16.541,16.541,100,0
CORX.US,60,20250410,190000,17.47,17.47,17.47,17.47,100,0
CORX.US,60,20250410,200000,17.53,17.6,17.53,17.6,300,0
CORX.US,60,20250410,220000,17.66,17.66,17.66,17.66,340,0
CORX.US,60,20250411,190000,18.08,18.11,18.07,18.07,2650,0
CORX.US,60,20250411,200000,18.15,18.15,18.1,18.1,855,0
CORX.US,60,20250411,210000,18.199,18.199,18.15,18.15,500,0
