<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DHDG.US,60,20241023,170000,30.3303,30.3303,30.3303,30.3303,2000,0
DHDG.US,60,20241023,210000,30.22,30.22,30.22,30.22,390,0
DHDG.US,60,20241024,170000,30.32,30.32,30.32,30.32,164,0
DHDG.US,60,20241025,190000,30.41,30.41,30.4,30.4,1380,0
DHDG.US,60,20241025,220000,30.3,30.32,30.3,30.32,1200,0
DHDG.US,60,20241028,160000,30.38,30.38,30.38,30.38,5500,0
DHDG.US,60,20241028,170000,30.41,30.41,30.41,30.41,100,0
DHDG.US,60,20241028,200000,30.36,30.36,30.36,30.36,658,0
DHDG.US,60,20241028,210000,30.37,30.37,30.36,30.36,658,0
DHDG.US,60,20241029,150000,30.2859,30.2859,30.2859,30.2859,390,0
DHDG.US,60,20241029,170000,30.36,30.38,30.36,30.38,4388,0
DHDG.US,60,20241029,180000,30.36,30.36,30.36,30.36,1600,0
DHDG.US,60,20241029,200000,30.39,30.39,30.39,30.39,100,0
DHDG.US,60,20241030,150000,30.35,30.35,30.33,30.33,2231,0
DHDG.US,60,20241030,160000,30.36,30.41,30.36,30.41,17504,0
DHDG.US,60,20241030,190000,30.36,30.36,30.36,30.36,1200,0
DHDG.US,60,20241030,200000,30.35,30.36,30.35,30.36,738,0
DHDG.US,60,20241030,210000,30.34,30.36,30.34,30.36,9937,0
DHDG.US,60,20241031,150000,30.2,30.2,30.2,30.2,1000,0
DHDG.US,60,20241031,160000,30.15,30.15,30.1,30.1,2787,0
DHDG.US,60,20241031,180000,30.1,30.12,30.1,30.1,1398,0
DHDG.US,60,20241031,190000,30.11,30.11,30.11,30.11,444,0
DHDG.US,60,20241031,210000,30.05,30.05,30.05,30.05,8200,0
DHDG.US,60,20241101,190000,30.16,30.18,30.13,30.13,2100,0
DHDG.US,60,20241101,200000,30.14,30.149,30.12,30.14,3099,0
DHDG.US,60,20241101,210000,30.15,30.429,30.11,30.12,6400,0
DHDG.US,60,20241104,170000,30.13,30.13,30.13,30.13,729,0
DHDG.US,60,20241104,180000,30.05,30.05,30.05,30.05,2000,0
DHDG.US,60,20241104,210000,30.0999,30.13,30.08,30.13,159102,0
DHDG.US,60,20241105,190000,30.23,30.23,30.19,30.19,280480,0
DHDG.US,60,20241105,210000,30.22,30.22,30.2199,30.2199,2000,0
DHDG.US,60,20241105,220000,30.22,30.22,30.2199,30.2199,1534,0
DHDG.US,60,20241106,210000,30.63,30.63,30.63,30.63,300,0
DHDG.US,60,20241106,220000,30.65,30.66,30.65,30.65,4738,0
DHDG.US,60,20241107,160000,30.74,30.74,30.74,30.74,281,0
DHDG.US,60,20241107,170000,30.72,30.72,30.72,30.72,16668,0
DHDG.US,60,20241107,190000,30.75,30.76,30.75,30.7599,1400,0
DHDG.US,60,20241107,210000,30.74,30.74,30.74,30.74,9083,0
DHDG.US,60,20241107,220000,30.78,30.78,30.7799,30.7799,1000,0
DHDG.US,60,20241108,180000,30.81,30.82,30.81,30.8199,400,0
DHDG.US,60,20241108,210000,30.84,31.13,30.84,30.86,59424,0
DHDG.US,60,20241111,220000,30.87,30.87,30.83,30.84,4825,0
DHDG.US,60,20241112,180000,30.8,30.8,30.8,30.8,1300,0
DHDG.US,60,20241112,190000,30.8099,30.8099,30.8099,30.8099,500,0
DHDG.US,60,20241112,200000,30.735,30.78,30.735,30.7799,1150,0
DHDG.US,60,20241112,220000,30.84,30.84,30.84,30.84,500,0
DHDG.US,60,20241113,170000,30.81,30.81,30.81,30.81,180,0
DHDG.US,60,20241113,190000,30.7901,30.87,30.7901,30.8332,2444,0
DHDG.US,60,20241113,200000,30.8101,30.8101,30.8101,30.8101,650,0
DHDG.US,60,20241113,210000,30.84,30.84,30.84,30.84,563,0
DHDG.US,60,20241113,220000,30.85,30.865,30.8,30.8001,9560,0
DHDG.US,60,20241114,180000,30.8299,30.8299,30.8299,30.8299,200,0
DHDG.US,60,20241114,200000,30.77,30.77,30.77,30.77,580,0
DHDG.US,60,20241114,210000,30.73,30.73,30.73,30.73,100,0
DHDG.US,60,20241115,160000,30.68,30.68,30.6799,30.6799,400,0
DHDG.US,60,20241118,170000,30.5,30.5795,30.5,30.5795,595,0
DHDG.US,60,20241118,200000,30.56,30.56,30.56,30.56,200,0
DHDG.US,60,20241118,210000,30.55,30.6,30.55,30.595,700,0
DHDG.US,60,20241119,180000,30.59,30.59,30.59,30.59,200,0
DHDG.US,60,20241119,190000,30.58,30.6,30.58,30.6,300,0
DHDG.US,60,20241119,210000,30.66,30.67,30.62,30.63,2404,0
DHDG.US,60,20241120,190000,30.56,30.61,30.52,30.6,4076,0
DHDG.US,60,20241120,220000,30.5899,30.5899,30.5899,30.5899,330,0
DHDG.US,60,20241121,180000,30.68,30.68,30.66,30.66,400,0
DHDG.US,60,20241122,210000,30.77,30.82,30.7601,30.82,617,0
DHDG.US,60,20241122,220000,30.77,30.77,30.77,30.77,200,0
DHDG.US,60,20241125,170000,30.89,30.89,30.89,30.89,100,0
DHDG.US,60,20241125,200000,30.87,30.87,30.8408,30.8408,203,0
DHDG.US,60,20241125,220000,30.89,30.9,30.89,30.9,300,0
DHDG.US,60,20241126,200000,30.959,30.96,30.959,30.959,900,0
DHDG.US,60,20241127,190000,30.909,30.909,30.909,30.909,418,0
DHDG.US,60,20241127,200000,30.92,30.92,30.88,30.88,800,0
DHDG.US,60,20241127,210000,30.939,30.94,30.939,30.9399,4000,0
DHDG.US,60,20241202,200000,31.05,31.0799,31.05,31.052,700,0
DHDG.US,60,20241203,210000,31.0797,31.09,31.0797,31.09,3352,0
DHDG.US,60,20241204,190000,31.15,31.1599,31.15,31.1599,965,0
DHDG.US,60,20241205,210000,31.16,31.18,31.16,31.18,800,0
DHDG.US,60,20241205,220000,31.18,31.18,31.18,31.18,100,0
DHDG.US,60,20241206,170000,31.17,31.17,31.17,31.17,773,0
DHDG.US,60,20241206,210000,31.1597,31.2,31.1597,31.19,2850,0
DHDG.US,60,20241211,190000,31.15,31.23,31.15,31.23,683,0
DHDG.US,60,20241211,200000,31.23,31.23,31.23,31.23,389,0
DHDG.US,60,20241211,210000,31.25,31.25,31.2,31.2,431,0
DHDG.US,60,20241211,220000,31.23,31.23,31.23,31.23,100,0
DHDG.US,60,20241212,160000,31.2,31.2,31.2,31.2,2500,0
DHDG.US,60,20241212,170000,31.19,31.19,31.19,31.19,100,0
DHDG.US,60,20241212,190000,31.19,31.19,31.19,31.19,214,0
DHDG.US,60,20241212,200000,31.175,31.175,31.1675,31.1675,2000,0
DHDG.US,60,20241212,210000,31.19,31.19,31.19,31.19,100,0
DHDG.US,60,20241213,160000,31.21,31.21,31.21,31.21,100,0
DHDG.US,60,20241213,190000,31.12,31.12,31.12,31.12,100,0
DHDG.US,60,20241213,220000,31.15,31.17,31.15,31.17,200,0
DHDG.US,60,20241216,170000,31.22,31.22,31.22,31.22,100,0
DHDG.US,60,20241216,220000,31.24,31.24,31.24,31.24,100,0
DHDG.US,60,20241217,170000,31.15,31.15,31.1,31.1,1180,0
DHDG.US,60,20241217,190000,31.17,31.18,31.1581,31.1699,2000,0
DHDG.US,60,20241217,210000,31.16,31.16,31.14,31.14,2100,0
DHDG.US,60,20241217,220000,31.14,31.15,31.13,31.15,1598,0
DHDG.US,60,20241218,170000,31.18,31.19,31.18,31.19,1156,0
DHDG.US,60,20241218,180000,31.19,31.19,31.19,31.19,100,0
DHDG.US,60,20241218,200000,31.19,31.19,31.19,31.19,100,0
DHDG.US,60,20241218,210000,31.06,31.06,31.04,31.04,300,0
DHDG.US,60,20241218,220000,30.59,30.6,30.58,30.6,70540,0
DHDG.US,60,20241220,180000,30.86,30.86,30.86,30.86,100,0
DHDG.US,60,20241220,190000,30.9,30.9,30.9,30.9,100,0
DHDG.US,60,20241223,170000,30.74,30.75,30.74,30.75,800,0
DHDG.US,60,20241223,190000,30.84,30.84,30.84,30.84,200,0
DHDG.US,60,20241223,200000,30.87,30.88,30.87,30.88,300,0
DHDG.US,60,20241223,210000,30.89,30.9,30.89,30.9,500,0
DHDG.US,60,20241224,190000,31.08,31.08,31.08,31.08,1000,0
DHDG.US,60,20241226,180000,31.15,31.15,31.15,31.15,200,0
DHDG.US,60,20241226,210000,31.16,31.16,31.16,31.16,129,0
DHDG.US,60,20241226,220000,31.14,31.15,31.14,31.15,800,0
DHDG.US,60,20241230,210000,30.74,30.74,30.72,30.73,117783,0
DHDG.US,60,20241230,220000,30.72,30.72,30.68,30.68,2796,0
DHDG.US,60,20241231,170000,30.6679,30.6679,30.6679,30.6679,100,0
DHDG.US,60,20241231,180000,30.62,30.62,30.6029,30.6029,200,0
DHDG.US,60,20241231,210000,30.51,30.56,30.51,30.56,290,0
DHDG.US,60,20241231,220000,30.54,30.58,30.54,30.58,319,0
DHDG.US,60,20250102,170000,30.6,30.6,30.6,30.6,4836,0
DHDG.US,60,20250102,190000,30.44,30.44,30.36,30.36,200,0
DHDG.US,60,20250102,200000,30.37,30.37,30.37,30.37,100,0
DHDG.US,60,20250102,210000,30.37,30.41,30.37,30.41,300,0
DHDG.US,60,20250102,220000,30.45,30.48,30.45,30.48,300,0
DHDG.US,60,20250103,160000,30.55,30.55,30.55,30.55,2000,0
DHDG.US,60,20250103,210000,30.76,30.76,30.76,30.76,613,0
DHDG.US,60,20250106,220000,30.9099,30.9099,30.9099,30.9099,233,0
DHDG.US,60,20250107,190000,30.7599,30.7599,30.7599,30.7599,154,0
DHDG.US,60,20250107,220000,30.67,30.67,30.67,30.67,1398,0
DHDG.US,60,20250108,170000,30.57,30.57,30.57,30.57,5400,0
DHDG.US,60,20250108,220000,30.575,30.575,30.575,30.575,100,0
DHDG.US,60,20250110,210000,30.33,30.33,30.295,30.295,624,0
DHDG.US,60,20250110,220000,30.28,30.28,30.28,30.28,102,0
DHDG.US,60,20250113,170000,30.11,30.11,30.11,30.11,100,0
DHDG.US,60,20250113,200000,30.18,30.18,30.18,30.18,224,0
DHDG.US,60,20250114,170000,30.3199,30.3199,30.3199,30.3199,107,0
DHDG.US,60,20250114,190000,30.2,30.219,30.187,30.21,724,0
DHDG.US,60,20250114,200000,30.2628,30.2628,30.2628,30.2628,210,0
DHDG.US,60,20250114,220000,30.1999,30.1999,30.19,30.19,200,0
DHDG.US,60,20250115,170000,30.72,30.72,30.72,30.72,200,0
DHDG.US,60,20250115,180000,30.7242,30.75,30.7242,30.75,400,0
DHDG.US,60,20250115,210000,30.789,30.82,30.789,30.81,1700,0
DHDG.US,60,20250116,190000,30.77,30.8042,30.77,30.8042,1200,0
DHDG.US,60,20250117,180000,31.08,31.09,31.08,31.09,300,0
DHDG.US,60,20250117,190000,31.08,31.08,31.08,31.08,228,0
DHDG.US,60,20250117,210000,31.0401,31.11,31.0401,31.1099,6230,0
DHDG.US,60,20250121,180000,31.1048,31.14,31.1048,31.14,4320,0
DHDG.US,60,20250121,190000,31.1197,31.15,31.1197,31.15,600,0
DHDG.US,60,20250121,200000,31.17,31.1899,31.14,31.152,5712,0
DHDG.US,60,20250121,210000,31.16,31.16,31.1375,31.1375,456,0
DHDG.US,60,20250121,220000,31.17,31.17,31.17,31.17,800,0
DHDG.US,60,20250122,160000,31.25,31.25,31.25,31.25,700,0
DHDG.US,60,20250122,170000,31.2799,31.2799,31.2799,31.2799,300,0
DHDG.US,60,20250122,180000,31.255,31.255,31.255,31.255,500,0
DHDG.US,60,20250122,220000,31.26,31.26,31.26,31.26,500,0
DHDG.US,60,20250123,190000,31.29,31.29,31.29,31.29,1300,0
DHDG.US,60,20250124,200000,31.29,31.29,31.29,31.29,100,0
DHDG.US,60,20250124,210000,31.3099,31.3099,31.3099,31.3099,160,0
DHDG.US,60,20250124,220000,31.31,31.31,31.29,31.31,4000,0
DHDG.US,60,20250127,160000,31.07,31.07,31.07,31.07,100,0
DHDG.US,60,20250128,180000,31.05,31.2,31.05,31.2,400,0
DHDG.US,60,20250128,190000,31.1601,31.18,31.1601,31.18,501,0
DHDG.US,60,20250129,170000,31.2,31.2,31.1937,31.1937,600,0
DHDG.US,60,20250129,190000,31.2,31.2,31.1937,31.1937,276,0
DHDG.US,60,20250129,200000,31.16,31.16,31.16,31.16,100,0
DHDG.US,60,20250130,180000,31.16,31.16,31.16,31.16,100,0
DHDG.US,60,20250130,190000,31.2,31.22,31.2,31.22,1000,0
DHDG.US,60,20250130,200000,31.185,31.24,31.185,31.24,1430,0
DHDG.US,60,20250130,220000,31.22,31.24,31.16,31.2,4553,0
DHDG.US,60,20250131,160000,31.32,31.32,31.32,31.32,200,0
DHDG.US,60,20250131,170000,31.34,31.3499,31.34,31.349,1592,0
DHDG.US,60,20250131,180000,31.36,31.36,31.36,31.36,100,0
DHDG.US,60,20250131,200000,31.3,31.3,31.3,31.3,100,0
DHDG.US,60,20250131,210000,31.22,31.22,31.22,31.22,100,0
DHDG.US,60,20250131,220000,31.18,31.18,31.18,31.18,100,0
DHDG.US,60,20250203,180000,31.05,31.12,31.05,31.09,800,0
DHDG.US,60,20250203,210000,31.12,31.12,31.12,31.12,400,0
DHDG.US,60,20250203,220000,31.14,31.14,31.09,31.1,1200,0
DHDG.US,60,20250204,170000,31.17,31.17,31.17,31.17,478,0
DHDG.US,60,20250204,190000,31.135,31.135,31.135,31.135,400,0
DHDG.US,60,20250204,210000,31.19,31.2,31.19,31.2,500,0
DHDG.US,60,20250204,220000,31.19,31.19,31.15,31.19,371,0
DHDG.US,60,20250206,170000,31.31,31.31,31.31,31.31,2844,0
DHDG.US,60,20250206,200000,31.3099,31.3099,31.3099,31.3099,109,0
DHDG.US,60,20250206,210000,31.21,31.27,31.21,31.27,2420,0
DHDG.US,60,20250206,220000,31.27,31.29,31.27,31.29,290,0
DHDG.US,60,20250210,180000,31.3,31.3,31.3,31.3,1598,0
DHDG.US,60,20250210,210000,31.29,31.3,31.2737,31.2737,916,0
DHDG.US,60,20250210,220000,31.29,31.29,31.29,31.29,100,0
DHDG.US,60,20250211,160000,31.25,31.25,31.25,31.25,960,0
DHDG.US,60,20250211,180000,31.29,31.3,31.29,31.3,1020,0
DHDG.US,60,20250212,190000,31.26,31.26,31.26,31.26,2274,0
DHDG.US,60,20250212,210000,31.25,31.25,31.25,31.25,1380,0
DHDG.US,60,20250213,200000,31.36,31.47,31.3137,31.3137,3426,0
DHDG.US,60,20250213,220000,31.4,31.4,31.4,31.4,200,0
DHDG.US,60,20250214,170000,31.45,31.45,31.45,31.45,241,0
DHDG.US,60,20250214,180000,31.43,31.43,31.43,31.43,62797,0
DHDG.US,60,20250214,190000,31.43,31.43,31.43,31.43,325050,0
DHDG.US,60,20250218,170000,31.405,31.45,31.4,31.45,1802,0
DHDG.US,60,20250218,190000,31.4599,31.4599,31.4599,31.4599,276,0
DHDG.US,60,20250218,200000,31.4599,31.4599,31.4599,31.4599,485,0
DHDG.US,60,20250218,220000,31.4156,31.4156,31.4156,31.4156,700,0
DHDG.US,60,20250219,170000,31.44,31.46,31.44,31.46,1619,0
