<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAK.US,60,20240411,160000,9.6,9.6395,9.56,9.5785,32233,0
BAK.US,60,20240411,170000,9.55,9.65,9.5303,9.64,60620,0
BAK.US,60,20240411,180000,9.64,9.7,9.57,9.615,38229,0
BAK.US,60,20240411,190000,9.61,9.62,9.58,9.61,26156,0
BAK.US,60,20240411,200000,9.61,9.655,9.61,9.655,13912,0
BAK.US,60,20240411,210000,9.6599,9.675,9.59,9.59,35649,0
BAK.US,60,20240411,220000,9.595,9.67,9.5815,9.62,121893,0
BAK.US,60,20240412,160000,9.47,9.51,9.369,9.375,108636,0
BAK.US,60,20240412,170000,9.38,9.4,9.25,9.27,103914,0
BAK.US,60,20240412,180000,9.26,9.335,9.26,9.31,81869,0
BAK.US,60,20240412,190000,9.3101,9.36,9.23,9.275,108275,0
BAK.US,60,20240412,200000,9.27,9.305,9.24,9.26,89871,0
BAK.US,60,20240412,210000,9.26,9.31,9.22,9.2299,69239,0
BAK.US,60,20240412,220000,9.2201,9.28,9.21,9.27,121218,0
BAK.US,60,20240415,160000,9.01,9.13,8.98,9.1082,76304,0
BAK.US,60,20240415,170000,9.1,9.135,9.03,9.0475,91466,0
BAK.US,60,20240415,180000,9.04,9.06,8.985,9,70479,0
BAK.US,60,20240415,190000,9.01,9.02,8.93,8.97,55300,0
BAK.US,60,20240415,200000,8.96,8.97,8.86,8.93,99887,0
BAK.US,60,20240415,210000,8.925,8.9488,8.89,8.905,35246,0
BAK.US,60,20240415,220000,8.9,8.95,8.89,8.93,127862,0
BAK.US,60,20240416,160000,8.75,8.79,8.63,8.63,56134,0
BAK.US,60,20240416,170000,8.63,8.74,8.6,8.61,103032,0
BAK.US,60,20240416,180000,8.6,8.75,8.6,8.71,93177,0
BAK.US,60,20240416,190000,8.715,8.74,8.679,8.71,103847,0
BAK.US,60,20240416,200000,8.715,8.72,8.66,8.695,79779,0
BAK.US,60,20240416,210000,8.7,8.785,8.68,8.755,47118,0
BAK.US,60,20240416,220000,8.76,8.77,8.71,8.71,115369,0
BAK.US,60,20240417,160000,8.68,8.69,8.59,8.67,164963,0
BAK.US,60,20240417,170000,8.665,8.67,8.599,8.605,71473,0
BAK.US,60,20240417,180000,8.605,8.65,8.595,8.64,63931,0
BAK.US,60,20240417,190000,8.63,8.63,8.545,8.5885,88503,0
BAK.US,60,20240417,200000,8.585,8.68,8.575,8.67,36845,0
BAK.US,60,20240417,210000,8.67,8.7,8.62,8.62,47369,0
BAK.US,60,20240417,220000,8.61,8.615,8.56,8.57,152783,0
BAK.US,60,20240418,160000,8.5,8.555,8.46,8.52,63480,0
BAK.US,60,20240418,170000,8.51,8.5705,8.475,8.475,115018,0
BAK.US,60,20240418,180000,8.48,8.49,8.45,8.48,58285,0
BAK.US,60,20240418,190000,8.47,8.495,8.44,8.46,93016,0
BAK.US,60,20240418,200000,8.45,8.46,8.4,8.42,94188,0
BAK.US,60,20240418,210000,8.41,8.435,8.35,8.35,61467,0
BAK.US,60,20240418,220000,8.355,8.64,8.355,8.64,603564,0
BAK.US,60,20240419,160000,8.52,8.61,8.52,8.5517,63823,0
BAK.US,60,20240419,170000,8.55,8.69,8.51,8.69,118059,0
BAK.US,60,20240419,180000,8.68,8.715,8.65,8.69,82231,0
BAK.US,60,20240419,190000,8.69,8.69,8.63,8.69,31043,0
BAK.US,60,20240419,200000,8.69,8.75,8.685,8.7025,56131,0
BAK.US,60,20240419,210000,8.705,8.715,8.64,8.655,58587,0
BAK.US,60,20240419,220000,8.65,8.675,8.62,8.655,108298,0
BAK.US,60,20240422,160000,8.43,8.48,8.38,8.425,126222,0
BAK.US,60,20240422,170000,8.425,8.48,8.4,8.47,90077,0
BAK.US,60,20240422,180000,8.47,8.605,8.45,8.605,54013,0
BAK.US,60,20240422,190000,8.61,8.73,8.58,8.71,37345,0
BAK.US,60,20240422,200000,8.7101,8.755,8.71,8.73,36300,0
BAK.US,60,20240422,210000,8.73,8.76,8.69,8.73,37934,0
BAK.US,60,20240422,220000,8.72,8.7999,8.72,8.76,116854,0
BAK.US,60,20240423,160000,8.62,8.77,8.5899,8.7286,84431,0
BAK.US,60,20240423,170000,8.73,8.84,8.72,8.77,39462,0
BAK.US,60,20240423,180000,8.78,8.855,8.76,8.795,37119,0
BAK.US,60,20240423,190000,8.8,8.895,8.78,8.8889,75437,0
BAK.US,60,20240423,200000,8.87,8.94,8.87,8.87,35166,0
BAK.US,60,20240423,210000,8.88,8.925,8.86,8.92,32932,0
BAK.US,60,20240423,220000,8.92,8.93,8.875,8.89,139789,0
BAK.US,60,20240424,160000,8.77,8.84,8.73,8.825,56893,0
BAK.US,60,20240424,170000,8.83,8.895,8.79,8.8399,85556,0
BAK.US,60,20240424,180000,8.85,8.87,8.765,8.78,97612,0
BAK.US,60,20240424,190000,8.79,8.81,8.76,8.81,30393,0
BAK.US,60,20240424,200000,8.82,8.875,8.81,8.83,57871,0
BAK.US,60,20240424,210000,8.82,8.825,8.79,8.82,41929,0
BAK.US,60,20240424,220000,8.82,8.84,8.79,8.8,228082,0
BAK.US,60,20240425,160000,8.64,8.72,8.64,8.71,39682,0
BAK.US,60,20240425,170000,8.715,8.81,8.715,8.78,22781,0
BAK.US,60,20240425,180000,8.78,8.78,8.72,8.72,27091,0
BAK.US,60,20240425,190000,8.73,8.73,8.675,8.7112,28830,0
BAK.US,60,20240425,200000,8.7115,8.82,8.7115,8.79,51160,0
BAK.US,60,20240425,210000,8.781,8.785,8.72,8.77,69374,0
BAK.US,60,20240425,220000,8.77,8.785,8.7,8.72,120901,0
BAK.US,60,20240426,160000,8.88,8.98,8.82,8.96,83433,0
BAK.US,60,20240426,170000,8.95,9,8.865,8.875,54890,0
BAK.US,60,20240426,180000,8.87,8.96,8.8694,8.94,82517,0
BAK.US,60,20240426,190000,8.94,9.0499,8.92,9.01,109923,0
BAK.US,60,20240426,200000,9.01,9.03,8.935,8.97,102340,0
BAK.US,60,20240426,210000,8.97,8.995,8.94,8.99,47185,0
BAK.US,60,20240426,220000,8.98,8.98,8.92,8.94,140979,0
BAK.US,60,20240429,160000,9.09,9.21,8.97,8.99,107001,0
BAK.US,60,20240429,170000,8.99,9.03,8.87,8.93,47615,0
BAK.US,60,20240429,180000,8.925,8.95,8.87,8.89,37203,0
BAK.US,60,20240429,190000,8.8915,8.91,8.82,8.83,77592,0
BAK.US,60,20240429,200000,8.84,8.9,8.83,8.86,40860,0
BAK.US,60,20240429,210000,8.84,8.86,8.8012,8.86,31476,0
BAK.US,60,20240429,220000,8.85,8.85,8.8,8.82,102451,0
BAK.US,60,20240430,160000,8.44,8.44,8.315,8.37,315532,0
BAK.US,60,20240430,170000,8.37,8.37,8.16,8.265,290799,0
BAK.US,60,20240430,180000,8.27,8.28,8.13,8.21,169824,0
BAK.US,60,20240430,190000,8.2,8.27,8.18,8.22,110717,0
BAK.US,60,20240430,200000,8.205,8.255,8.16,8.225,118187,0
BAK.US,60,20240430,210000,8.22,8.24,8.18,8.23,98480,0
BAK.US,60,20240430,220000,8.23,8.27,8.19,8.2,318739,0
BAK.US,60,20240501,160000,8.17,8.22,8.06,8.17,51679,0
BAK.US,60,20240501,170000,8.16,8.18,8.1,8.17,58031,0
BAK.US,60,20240501,180000,8.17,8.2,8.16,8.17,49148,0
BAK.US,60,20240501,190000,8.16,8.18,8.15,8.16,28675,0
BAK.US,60,20240501,200000,8.165,8.17,8.15,8.16,30535,0
BAK.US,60,20240501,210000,8.165,8.3,8.16,8.28,123643,0
BAK.US,60,20240501,220000,8.28,8.31,8.15,8.16,203506,0
BAK.US,60,20240502,160000,8.35,8.45,8.34,8.39,106930,0
BAK.US,60,20240502,170000,8.4,8.65,8.35,8.555,233939,0
BAK.US,60,20240502,180000,8.55,8.56,8.51,8.55,39516,0
BAK.US,60,20240502,190000,8.54,8.55,8.505,8.54,34000,0
BAK.US,60,20240502,200000,8.54,8.67,8.54,8.64,122202,0
BAK.US,60,20240502,210000,8.64,8.685,8.62,8.67,96295,0
BAK.US,60,20240502,220000,8.67,8.67,8.61,8.62,129493,0
BAK.US,60,20240506,160000,7.7,7.795,7.58,7.795,1273224,0
BAK.US,60,20240506,170000,7.795,7.86,7.69,7.72,1657289,0
BAK.US,60,20240506,180000,7.71,7.75,7.62,7.745,726391,0
BAK.US,60,20240506,190000,7.74,7.75,7.69,7.722,263680,0
BAK.US,60,20240506,200000,7.725,7.745,7.71,7.73,139492,0
BAK.US,60,20240506,210000,7.735,7.81,7.7,7.73,803960,0
BAK.US,60,20240506,220000,7.7293,7.77,7.705,7.75,360377,0
BAK.US,60,20240507,160000,7.89,7.94,7.84,7.87,152045,0
BAK.US,60,20240507,170000,7.86,7.98,7.835,7.975,229533,0
BAK.US,60,20240507,180000,7.975,8.09,7.97,8.08,237860,0
BAK.US,60,20240507,190000,8.0614,8.07,7.96,8.02,94323,0
BAK.US,60,20240507,200000,8.02,8.035,7.98,7.98,39133,0
BAK.US,60,20240507,210000,7.98,7.99,7.87,7.875,95881,0
BAK.US,60,20240507,220000,7.875,7.9,7.855,7.87,194142,0
BAK.US,60,20240508,160000,7.78,7.81,7.745,7.78,80899,0
BAK.US,60,20240508,170000,7.7879,7.88,7.785,7.81,99831,0
BAK.US,60,20240508,180000,7.805,7.89,7.8,7.82,42090,0
BAK.US,60,20240508,190000,7.82,7.835,7.73,7.75,140245,0
BAK.US,60,20240508,200000,7.755,7.775,7.735,7.775,61264,0
BAK.US,60,20240508,210000,7.77,7.79,7.75,7.761,33607,0
BAK.US,60,20240508,220000,7.761,7.78,7.75,7.75,185769,0
BAK.US,60,20240509,160000,7.45,7.521,7.365,7.38,295221,0
BAK.US,60,20240509,170000,7.375,7.49,7.365,7.435,126848,0
BAK.US,60,20240509,180000,7.425,7.585,7.4005,7.42,132608,0
BAK.US,60,20240509,190000,7.42,7.46,7.4,7.42,74433,0
BAK.US,60,20240509,200000,7.42,7.495,7.4025,7.47,68436,0
