<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLCG.US,60,20240806,210000,24.02,24.02,24.02,24.02,100,0
FLCG.US,60,20240814,190000,23.98,25.03,23.98,25.03,4702,0
FLCG.US,60,20240916,220000,25.59,25.92,25.59,25.92,1075,0
FLCG.US,60,20241008,160000,26.63,26.63,26.6136,26.6136,596,0
FLCG.US,60,20241009,170000,26.84,26.87,26.84,26.87,2233,0
FLCG.US,60,20241010,180000,27.0084,27.05,27.0084,27.031,8880,0
FLCG.US,60,20241010,190000,27.11,27.11,27.101,27.101,5520,0
FLCG.US,60,20241010,210000,27.04,27.04,27.0399,27.0399,702,0
FLCG.US,60,20241015,190000,27.1299,27.13,27.1166,27.1166,1400,0
FLCG.US,60,20241016,170000,27.05,27.05,27.0499,27.0499,800,0
FLCG.US,60,20241016,190000,27.05,27.07,27.0366,27.0554,4439,0
FLCG.US,60,20241016,210000,27.13,27.13,27.13,27.13,891,0
FLCG.US,60,20241016,220000,27.12,27.14,27.11,27.13,3300,0
FLCG.US,60,20241017,190000,27.26,27.26,27.2599,27.2599,1996,0
FLCG.US,60,20241018,200000,27.27,27.6,27.26,27.2799,33240,0
FLCG.US,60,20241018,210000,27.2597,27.2597,27.2597,27.2597,132,0
FLCG.US,60,20241021,200000,27.26,27.26,27.26,27.26,100,0
FLCG.US,60,20241023,170000,27.18,27.18,27.18,27.18,100,0
FLCG.US,60,20241025,220000,26.92,27.19,26.92,27.19,9771,0
FLCG.US,60,20241028,200000,27.3099,27.31,27.28,27.28,1700,0
FLCG.US,60,20241028,210000,27.32,27.32,27.32,27.32,100,0
FLCG.US,60,20241029,160000,27.3679,27.3679,27.3679,27.3679,100,0
FLCG.US,60,20241031,190000,26.8227,26.8227,26.8227,26.8227,746,0
FLCG.US,60,20241031,200000,26.76,26.76,26.75,26.76,393,0
FLCG.US,60,20241101,150000,26.84,26.84,26.84,26.84,1000,0
FLCG.US,60,20241101,210000,26.91,26.91,26.91,26.91,1116,0
FLCG.US,60,20241104,200000,26.8742,26.8742,26.8742,26.8742,186,0
FLCG.US,60,20241105,220000,26.86,27.16,26.86,27.16,966,0
FLCG.US,60,20241106,160000,27.66,27.66,27.66,27.66,2100,0
FLCG.US,60,20241106,200000,27.8,27.8196,27.8,27.8196,1391,0
FLCG.US,60,20241106,220000,27.87,27.91,27.87,27.89,900,0
FLCG.US,60,20241107,160000,28.23,28.23,28.23,28.23,201,0
FLCG.US,60,20241107,220000,28.47,28.47,28.445,28.445,2300,0
FLCG.US,60,20241111,190000,28.5,28.5,28.4419,28.4419,1214,0
