<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LSVD.US,60,20241226,170000,24.95,24.98,24.95,24.96,2500,0
LSVD.US,60,20241226,190000,24.98,24.98,24.98,24.98,100,0
LSVD.US,60,20241227,170000,24.72,24.72,24.72,24.72,100,0
LSVD.US,60,20241227,190000,24.59,24.59,24.59,24.59,400,0
LSVD.US,60,20241230,170000,24.36,24.36,24.36,24.36,100,0
LSVD.US,60,20241230,190000,24.59,24.59,24.59,24.59,400,0
LSVD.US,60,20241230,210000,24.58,24.58,24.58,24.58,200,0
LSVD.US,60,20241230,220000,24.58,24.58,24.58,24.58,100,0
LSVD.US,60,20241231,170000,24.58,24.58,24.58,24.58,100,0
LSVD.US,60,20241231,210000,24.45,24.45,24.45,24.45,104,0
LSVD.US,60,20250102,170000,24.64,24.64,24.64,24.64,100,0
LSVD.US,60,20250102,220000,24.44,24.44,24.44,24.44,600,0
LSVD.US,60,20250103,160000,24.57,24.57,24.57,24.57,200,0
LSVD.US,60,20250106,190000,25.11,25.11,25.11,25.11,100,0
LSVD.US,60,20250106,220000,24.93,24.93,24.93,24.93,100,0
LSVD.US,60,20250107,170000,24.9,24.9,24.9,24.9,100,0
LSVD.US,60,20250107,190000,24.8399,24.84,24.83,24.83,600,0
LSVD.US,60,20250107,200000,24.88,24.88,24.88,24.88,100,0
LSVD.US,60,20250108,190000,24.7,24.7,24.7,24.7,100,0
LSVD.US,60,20250110,180000,24.35,24.35,24.35,24.35,805,0
LSVD.US,60,20250110,210000,24.45,24.45,24.45,24.45,102,0
LSVD.US,60,20250203,180000,25.07,25.07,25.06,25.06,300,0
LSVD.US,60,20250203,190000,25.05,25.05,25.023,25.05,5700,0
LSVD.US,60,20250203,200000,25.0656,25.09,25.06,25.06,41723,0
LSVD.US,60,20250204,170000,25.115,25.135,25.115,25.135,2000,0
LSVD.US,60,20250204,180000,25.17,25.17,25.17,25.17,300,0
LSVD.US,60,20250204,200000,25.12,25.12,25.12,25.12,100,0
LSVD.US,60,20250204,220000,25.17,25.17,25.17,25.17,200,0
LSVD.US,60,20250205,170000,25.055,25.055,25.055,25.055,100,0
LSVD.US,60,20250205,190000,25.18,25.18,25.18,25.18,100,0
LSVD.US,60,20250206,170000,25.23,25.23,25.23,25.23,100,0
LSVD.US,60,20250206,210000,25.1,25.1,25.1,25.1,100,0
LSVD.US,60,20250206,220000,25.14,25.14,25.14,25.14,197,0
LSVD.US,60,20250207,170000,25.17,25.17,25.17,25.17,100,0
LSVD.US,60,20250207,210000,25.01,25.01,25.01,25.01,500,0
LSVD.US,60,20250210,220000,25,25.12,25,25.09,1200,0
LSVD.US,60,20250211,160000,25.09,25.09,25.09,25.09,200,0
LSVD.US,60,20250212,170000,24.96,24.96,24.96,24.96,300,0
LSVD.US,60,20250213,210000,25.29,25.29,25.29,25.29,300,0
LSVD.US,60,20250214,180000,25.3999,25.4,25.3999,25.4,300,0
LSVD.US,60,20250218,190000,25.385,25.385,25.385,25.385,200,0
LSVD.US,60,20250218,220000,25.39,25.39,25.39,25.39,300,0
LSVD.US,60,20250219,200000,25.44,25.44,25.44,25.44,200,0
LSVD.US,60,20250220,210000,25.37,25.37,25.37,25.37,201,0
LSVD.US,60,20250221,170000,25.29,25.29,25.28,25.28,300,0
LSVD.US,60,20250221,200000,25.07,25.07,25.07,25.07,500,0
LSVD.US,60,20250224,170000,24.94,24.94,24.94,24.94,100,0
LSVD.US,60,20250225,220000,24.86,24.86,24.86,24.86,100,0
LSVD.US,60,20250226,170000,24.9818,24.9818,24.9818,24.9818,200,0
LSVD.US,60,20250226,180000,24.98,24.98,24.98,24.98,100,0
LSVD.US,60,20250226,210000,24.78,24.78,24.73,24.73,500,0
LSVD.US,60,20250227,170000,24.82,24.82,24.82,24.82,100,0
LSVD.US,60,20250227,210000,24.74,24.74,24.74,24.74,100,0
LSVD.US,60,20250303,200000,24.4396,24.4396,24.4396,24.4396,200,0
LSVD.US,60,20250306,210000,23.81,23.81,23.81,23.81,200,0
LSVD.US,60,20250310,160000,23.92,23.92,23.92,23.92,100,0
LSVD.US,60,20250311,180000,23.32,23.32,23.303,23.303,600,0
LSVD.US,60,20250327,210000,23.71,23.71,23.71,23.71,500,0
LSVD.US,60,20250403,170000,22.53,22.53,22.53,22.53,1600,0
LSVD.US,60,20250404,190000,21.31,21.31,21.31,21.31,1000,0
LSVD.US,60,20250407,210000,21.04,21.06,20.97,20.97,2101,0
LSVD.US,60,20250408,160000,21.65,21.65,21.65,21.65,200,0
LSVD.US,60,20250409,200000,21.62,21.78,21.62,21.78,300,0
LSVD.US,60,20250410,170000,21.84,21.84,21.84,21.84,200,0
LSVD.US,60,20250604,220000,24.54,24.54,24.54,24.54,100,0
LSVD.US,60,20250605,170000,24.49,24.49,24.49,24.49,100,0
LSVD.US,60,20250606,180000,24.74,24.74,24.74,24.74,100,0
LSVD.US,60,20250606,190000,24.7196,25.09,24.6899,24.7,52200,0
LSVD.US,60,20250606,200000,24.71,25.23,24.66,24.72,166108,0
LSVD.US,60,20250606,210000,24.776,24.79,24.7738,24.7738,1537,0
LSVD.US,60,20250606,220000,24.79,24.79,24.79,24.79,4900,0
LSVD.US,60,20250609,170000,24.87,24.88,24.83,24.853,7483,0
LSVD.US,60,20250610,180000,24.85,24.97,24.85,24.97,405,0
LSVD.US,60,20250610,210000,25.01,25.01,25.01,25.01,100,0
LSVD.US,60,20250610,220000,25.05,25.05,25.05,25.05,100,0
LSVD.US,60,20250611,200000,25.02,25.02,24.99,24.99,300,0
LSVD.US,60,20250611,210000,24.89,24.92,24.89,24.91,33797,0
LSVD.US,60,20250611,220000,24.91,24.915,24.89,24.9,3800,0
LSVD.US,60,20250612,180000,24.9,24.9,24.9,24.9,200,0
LSVD.US,60,20250617,190000,24.91,24.91,24.91,24.91,209,0
LSVD.US,60,20250618,180000,24.92,24.92,24.9199,24.9199,206,0
LSVD.US,60,20250623,210000,24.856,24.856,24.856,24.856,1727,0
LSVD.US,60,20250623,220000,24.92,24.92,24.92,24.92,122,0
LSVD.US,60,20250625,180000,25.2,25.2,25.18,25.18,3124,0
LSVD.US,60,20250625,190000,25.2108,25.2108,25.2108,25.2108,272,0
LSVD.US,60,20250625,210000,25.1684,25.1684,25.1684,25.1684,2373,0
LSVD.US,60,20250627,180000,25.56,25.5602,25.54,25.5602,1146,0
LSVD.US,60,20250627,200000,25.58,25.58,25.58,25.58,100,0
LSVD.US,60,20250630,190000,25.6,25.6,25.6,25.6,100,0
LSVD.US,60,20250630,210000,25.5946,25.5946,25.574,25.574,986,0
LSVD.US,60,20250703,190000,25.81,26.09,25.74,26.03,2588,0
LSVD.US,60,20250707,170000,26.039,26.039,26,26,938,0
