<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LFGY.US,60,20250117,160000,54.55,54.66,54.03,54.555,9521,0
LFGY.US,60,20250117,170000,54.6,55.11,54.26,55.04,14514,0
LFGY.US,60,20250117,180000,54.82,54.8494,54.71,54.71,3505,0
LFGY.US,60,20250117,190000,54.74,54.879,54.67,54.68,3889,0
LFGY.US,60,20250117,200000,54.565,54.85,54.565,54.7,6019,0
LFGY.US,60,20250117,210000,54.81,54.81,54.554,54.59,4895,0
LFGY.US,60,20250117,220000,54.5,54.9456,54.2495,54.41,9081,0
LFGY.US,60,20250121,160000,54.7501,54.89,53.91,54,26113,0
LFGY.US,60,20250121,170000,53.85,53.9695,53.1801,53.95,10902,0
LFGY.US,60,20250121,180000,53.9,54.27,53.8087,54.04,16517,0
LFGY.US,60,20250121,190000,54.055,54.5745,54.055,54.4976,5422,0
LFGY.US,60,20250121,200000,54.4751,54.8399,54.41,54.76,8933,0
LFGY.US,60,20250121,210000,54.74,54.84,54.53,54.735,4859,0
LFGY.US,60,20250121,220000,54.75,54.7609,54.34,54.34,7569,0
LFGY.US,60,20250122,160000,53.95,54.12,53.6984,53.8,44620,0
LFGY.US,60,20250122,170000,53.75,54.37,53.4431,53.5,43401,0
LFGY.US,60,20250122,180000,53.48,53.5383,53.0771,53.38,22654,0
LFGY.US,60,20250122,190000,53.52,54.01,53.4609,53.81,16152,0
LFGY.US,60,20250122,200000,53.84,53.95,53.68,53.75,12208,0
LFGY.US,60,20250122,210000,53.75,54.5792,53.75,54.23,14329,0
LFGY.US,60,20250122,220000,54.2982,54.2982,54,54.16,16185,0
LFGY.US,60,20250123,160000,52.79,53.9,52.65,53.55,31501,0
LFGY.US,60,20250123,170000,53.63,53.85,52.8,53.7406,16545,0
LFGY.US,60,20250123,180000,53.8,54.2775,53.6101,53.71,6977,0
LFGY.US,60,20250123,190000,53.6,53.9192,53.465,53.85,14724,0
LFGY.US,60,20250123,200000,53.82,54.5099,53.6501,53.832,8858,0
LFGY.US,60,20250123,210000,53.74,53.82,53.25,53.3699,10956,0
LFGY.US,60,20250123,220000,53.22,53.825,53.22,53.29,8648,0
LFGY.US,60,20250124,160000,53.726,53.81,53.45,53.72,14384,0
LFGY.US,60,20250124,170000,53.635,53.99,53.5501,53.99,12555,0
LFGY.US,60,20250124,180000,53.99,54.28,53.8151,54.15,11029,0
LFGY.US,60,20250124,190000,54.12,54.469,54.06,54.36,8826,0
LFGY.US,60,20250124,200000,54.288,54.55,54.23,54.23,7569,0
LFGY.US,60,20250124,210000,54.22,54.56,53.685,53.685,9272,0
LFGY.US,60,20250124,220000,53.655,54.14,53.1001,53.96,18241,0
LFGY.US,60,20250127,160000,51.27,51.74,50,51.019,32401,0
LFGY.US,60,20250127,170000,51.1389,51.18,49.9,49.97,40336,0
LFGY.US,60,20250127,180000,49.899,49.9,48.2701,48.81,25673,0
LFGY.US,60,20250127,190000,48.8,48.9875,47.8,47.8,27534,0
LFGY.US,60,20250127,200000,47.95,48.165,47.2001,47.27,25036,0
LFGY.US,60,20250127,210000,47.3983,48.05,47.3967,47.59,16378,0
LFGY.US,60,20250127,220000,47.68,48.8299,47.68,48.737,11185,0
LFGY.US,60,20250128,160000,49.1697,49.34,48.38,48.97,12176,0
LFGY.US,60,20250128,170000,49.06,49.2584,48.61,48.64,8058,0
LFGY.US,60,20250128,180000,48.7,48.7,48.4157,48.4157,3966,0
LFGY.US,60,20250128,190000,48.9,48.9384,48.5703,48.613,13921,0
LFGY.US,60,20250128,200000,48.605,48.76,48.5028,48.6,6434,0
LFGY.US,60,20250128,210000,48.515,49.2201,48.5002,48.98,4293,0
LFGY.US,60,20250128,220000,49.01,49.02,48.88,48.94,4406,0
LFGY.US,60,20250129,160000,49.58,49.8499,48.8,49.0201,10628,0
LFGY.US,60,20250129,170000,49.19,49.4496,48.8942,48.975,12367,0
LFGY.US,60,20250129,180000,49.0223,49.03,48.8801,48.89,6642,0
LFGY.US,60,20250129,190000,48.92,49.2591,48.92,49.005,10402,0
LFGY.US,60,20250129,200000,48.91,49.15,48.79,49.1,10547,0
LFGY.US,60,20250129,210000,49.01,49.6197,48.545,49.2401,6084,0
LFGY.US,60,20250129,220000,49.1701,49.95,49.1701,49.695,8226,0
LFGY.US,60,20250130,160000,49.61,50.5394,49.61,50.5394,6301,0
LFGY.US,60,20250130,170000,50.52,50.66,49.99,50.35,11903,0
LFGY.US,60,20250130,180000,50.2497,50.5,50.16,50.16,6960,0
LFGY.US,60,20250130,190000,50.095,50.15,49.9001,50.02,3242,0
LFGY.US,60,20250130,200000,50.01,50.58,49.9,50.58,13812,0
LFGY.US,60,20250130,210000,50.29,50.64,50.29,50.51,2398,0
LFGY.US,60,20250130,220000,50.57,50.64,50.12,50.35,13400,0
LFGY.US,60,20250131,160000,50.71,50.71,50.1,50.2358,6276,0
LFGY.US,60,20250131,170000,50.3475,50.92,50.3475,50.88,15237,0
LFGY.US,60,20250131,180000,50.88,50.88,50.66,50.7044,16726,0
LFGY.US,60,20250131,190000,50.7,50.845,50.4601,50.7225,3755,0
LFGY.US,60,20250131,200000,50.76,50.8414,49.9,50.06,17319,0
LFGY.US,60,20250131,210000,49.99,50.09,49.77,49.9675,10476,0
LFGY.US,60,20250131,220000,49.81,49.81,49.3501,49.61,6565,0
LFGY.US,60,20250203,160000,47.305,47.92,47.29,47.92,19349,0
LFGY.US,60,20250203,170000,47.8322,49.29,47.5816,49.0882,13276,0
LFGY.US,60,20250203,180000,49.1475,49.2,48.65,48.7,10973,0
LFGY.US,60,20250203,190000,48.6501,48.869,48.39,48.61,9424,0
LFGY.US,60,20250203,200000,48.7252,49.1,48.7131,48.991,8105,0
LFGY.US,60,20250203,210000,49.19,49.78,49.14,49.78,7358,0
LFGY.US,60,20250203,220000,49.82,49.86,49.5422,49.66,7638,0
LFGY.US,60,20250204,160000,49.45,49.8888,49.45,49.64,5559,0
LFGY.US,60,20250204,170000,49.65,49.82,49.4551,49.8,7680,0
LFGY.US,60,20250204,180000,49.602,49.8393,49.57,49.8393,5425,0
LFGY.US,60,20250204,190000,49.6,49.82,49.45,49.75,4460,0
LFGY.US,60,20250204,200000,49.619,49.88,49.5705,49.78,7058,0
LFGY.US,60,20250204,210000,49.8299,50.1545,49.8299,49.86,5375,0
LFGY.US,60,20250204,220000,49.68,49.82,49.6201,49.72,6701,0
LFGY.US,60,20250205,160000,50.19,50.19,49.655,49.655,13502,0
LFGY.US,60,20250205,170000,49.846,49.95,49.5,49.7752,20106,0
LFGY.US,60,20250205,180000,49.8,49.845,49.4,49.799,16524,0
LFGY.US,60,20250205,190000,49.8356,50.548,49.6317,49.7494,12937,0
LFGY.US,60,20250205,200000,49.76,49.76,49.3575,49.46,6223,0
LFGY.US,60,20250205,210000,49.46,49.5,49.29,49.32,3930,0
LFGY.US,60,20250205,220000,49.43,49.5,49.1657,49.25,8386,0
LFGY.US,60,20250206,160000,49,49.45,48.665,48.665,5155,0
LFGY.US,60,20250206,170000,48.8686,49.06,48.52,48.735,6069,0
LFGY.US,60,20250206,180000,48.7792,48.81,48.5001,48.52,7405,0
