<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZCMD.US,60,20240411,160000,1.71,1.71,1.53,1.6098,7115,0
ZCMD.US,60,20240411,170000,1.6037,1.61,1.54,1.61,9031,0
ZCMD.US,60,20240411,180000,1.56,1.65,1.56,1.6,807,0
ZCMD.US,60,20240411,190000,1.62,1.62,1.62,1.62,100,0
ZCMD.US,60,20240411,200000,1.64,1.65,1.64,1.65,1468,0
ZCMD.US,60,20240411,210000,1.64,1.64,1.63,1.63,1102,0
ZCMD.US,60,20240411,220000,1.65,1.65,1.58,1.62,2800,0
ZCMD.US,60,20240412,160000,1.64,1.68,1.55,1.68,1268,0
ZCMD.US,60,20240412,170000,1.64,1.68,1.61,1.61,1740,0
ZCMD.US,60,20240412,190000,1.67,1.68,1.66,1.66,500,0
ZCMD.US,60,20240412,220000,1.59,1.63,1.59,1.62,1802,0
ZCMD.US,60,20240415,160000,1.58,1.58,1.51,1.51,1413,0
ZCMD.US,60,20240415,170000,1.51,1.51,1.4604,1.5,4429,0
ZCMD.US,60,20240415,180000,1.49,1.49,1.42,1.42,4655,0
ZCMD.US,60,20240415,190000,1.46,1.46,1.38,1.4,3197,0
ZCMD.US,60,20240415,200000,1.46,1.46,1.46,1.46,100,0
ZCMD.US,60,20240415,210000,1.4293,1.4293,1.4293,1.4293,200,0
ZCMD.US,60,20240415,220000,1.4,1.4,1.38,1.39,875,0
ZCMD.US,60,20240416,160000,1.38,1.38,1.37,1.37,1421,0
ZCMD.US,60,20240416,170000,1.37,1.37,1.34,1.34,924,0
ZCMD.US,60,20240416,180000,1.34,1.3799,1.34,1.36,1221,0
ZCMD.US,60,20240416,190000,1.3707,1.38,1.34,1.34,1272,0
ZCMD.US,60,20240416,200000,1.3401,1.35,1.3401,1.341,2564,0
ZCMD.US,60,20240416,210000,1.35,1.3563,1.33,1.33,1709,0
ZCMD.US,60,20240416,220000,1.3,1.36,1.3,1.36,200,0
ZCMD.US,60,20240417,160000,1.3,1.5,1.3,1.43,10188,0
ZCMD.US,60,20240417,170000,1.4199,1.4199,1.33,1.3599,6771,0
ZCMD.US,60,20240417,180000,1.36,1.36,1.29,1.31,1548,0
ZCMD.US,60,20240417,190000,1.33,1.33,1.2804,1.3,12750,0
ZCMD.US,60,20240417,200000,1.3499,1.35,1.3,1.3,1924,0
ZCMD.US,60,20240417,220000,1.37,1.37,1.36,1.37,900,0
ZCMD.US,60,20240418,160000,1.33,1.33,1.33,1.33,100,0
ZCMD.US,60,20240418,170000,1.3569,1.3569,1.2901,1.2901,5520,0
ZCMD.US,60,20240418,180000,1.35,1.35,1.28,1.28,3224,0
ZCMD.US,60,20240418,200000,1.29,1.3,1.29,1.3,700,0
ZCMD.US,60,20240418,210000,1.298,1.31,1.28,1.31,3900,0
ZCMD.US,60,20240418,220000,1.33,1.5541,1.33,1.45,23116,0
ZCMD.US,60,20240419,160000,2.65,2.74,2.05,2.155,6023187,0
ZCMD.US,60,20240419,170000,2.15,2.23,1.78,1.83,3170874,0
ZCMD.US,60,20240419,180000,1.83,2.029,1.8,1.84,1097920,0
ZCMD.US,60,20240419,190000,1.84,1.95,1.83,1.88,392387,0
ZCMD.US,60,20240419,200000,1.88,1.98,1.86,1.92,302748,0
ZCMD.US,60,20240419,210000,1.92,1.9694,1.71,1.83,555160,0
ZCMD.US,60,20240419,220000,1.84,1.94,1.77,1.94,536005,0
ZCMD.US,60,20240422,160000,1.79,1.79,1.71,1.75,89929,0
ZCMD.US,60,20240422,170000,1.75,1.78,1.6,1.6,109980,0
ZCMD.US,60,20240422,180000,1.61,1.71,1.58,1.71,153238,0
ZCMD.US,60,20240422,190000,1.71,1.75,1.58,1.63,99345,0
ZCMD.US,60,20240422,200000,1.6,1.69,1.6,1.66,24234,0
ZCMD.US,60,20240422,210000,1.66,1.67,1.551,1.6,40934,0
ZCMD.US,60,20240422,220000,1.58,1.65,1.55,1.55,56451,0
ZCMD.US,60,20240423,160000,1.59,1.8,1.5,1.6092,138360,0
ZCMD.US,60,20240423,170000,1.59,1.63,1.5,1.58,128677,0
ZCMD.US,60,20240423,180000,1.58,1.67,1.5502,1.65,52054,0
ZCMD.US,60,20240423,190000,1.6266,1.7,1.6252,1.7,22108,0
ZCMD.US,60,20240423,200000,1.69,1.77,1.66,1.7,44841,0
ZCMD.US,60,20240423,210000,1.7,1.72,1.65,1.72,38701,0
ZCMD.US,60,20240423,220000,1.7,1.85,1.7,1.72,125708,0
ZCMD.US,60,20240424,160000,1.57,1.67,1.56,1.66,12848,0
ZCMD.US,60,20240424,170000,1.67,1.74,1.6202,1.71,19233,0
ZCMD.US,60,20240424,180000,1.7002,1.73,1.64,1.7,44526,0
ZCMD.US,60,20240424,190000,1.69,1.71,1.65,1.66,11322,0
ZCMD.US,60,20240424,200000,1.7,1.7,1.66,1.69,5666,0
ZCMD.US,60,20240424,210000,1.6799,1.69,1.61,1.62,14373,0
ZCMD.US,60,20240424,220000,1.62,1.65,1.52,1.52,32458,0
ZCMD.US,60,20240425,160000,1.49,1.49,1.41,1.42,11333,0
ZCMD.US,60,20240425,170000,1.4199,1.53,1.32,1.49,61779,0
ZCMD.US,60,20240425,180000,1.43,1.48,1.4,1.42,5829,0
ZCMD.US,60,20240425,190000,1.4799,1.4799,1.4201,1.45,3068,0
ZCMD.US,60,20240425,200000,1.43,1.48,1.42,1.4204,4730,0
ZCMD.US,60,20240425,210000,1.421,1.4791,1.42,1.4791,12229,0
ZCMD.US,60,20240425,220000,1.4709,1.49,1.42,1.49,8809,0
ZCMD.US,60,20240426,160000,1.56,1.56,1.42,1.4798,9058,0
ZCMD.US,60,20240426,170000,1.46,1.53,1.45,1.51,34589,0
ZCMD.US,60,20240426,180000,1.53,1.6,1.45,1.52,30319,0
ZCMD.US,60,20240426,190000,1.5899,1.5899,1.5,1.5,3658,0
ZCMD.US,60,20240426,200000,1.51,1.77,1.51,1.72,264291,0
ZCMD.US,60,20240426,210000,1.7299,1.77,1.62,1.71,147778,0
ZCMD.US,60,20240426,220000,1.7001,1.78,1.69,1.69,95384,0
ZCMD.US,60,20240429,160000,1.69,1.69,1.51,1.55,29184,0
ZCMD.US,60,20240429,170000,1.5499,1.67,1.52,1.645,46891,0
ZCMD.US,60,20240429,180000,1.6699,1.75,1.65,1.74,15611,0
ZCMD.US,60,20240429,190000,1.7199,1.76,1.6535,1.72,14144,0
ZCMD.US,60,20240429,200000,1.7199,1.8,1.695,1.7281,42654,0
ZCMD.US,60,20240429,210000,1.73,1.74,1.67,1.67,12835,0
ZCMD.US,60,20240429,220000,1.6822,1.73,1.6128,1.64,10314,0
ZCMD.US,60,20240430,160000,1.62,1.63,1.6,1.61,13750,0
ZCMD.US,60,20240430,170000,1.63,1.64,1.58,1.5955,16152,0
ZCMD.US,60,20240430,180000,1.63,1.64,1.58,1.6191,13751,0
ZCMD.US,60,20240430,190000,1.6299,1.6299,1.5602,1.5602,4032,0
ZCMD.US,60,20240430,200000,1.56,1.6189,1.55,1.605,10643,0
ZCMD.US,60,20240430,210000,1.5901,1.6,1.58,1.58,2700,0
ZCMD.US,60,20240430,220000,1.62,1.6399,1.59,1.602,6550,0
ZCMD.US,60,20240501,160000,1.58,1.59,1.5,1.5,9295,0
ZCMD.US,60,20240501,170000,1.5,1.55,1.49,1.52,9392,0
ZCMD.US,60,20240501,180000,1.505,1.54,1.5,1.5101,3164,0
ZCMD.US,60,20240501,190000,1.51,1.52,1.45,1.52,11021,0
ZCMD.US,60,20240501,200000,1.52,1.5997,1.5,1.56,45118,0
ZCMD.US,60,20240501,210000,1.56,1.59,1.52,1.59,18038,0
ZCMD.US,60,20240501,220000,1.58,1.7385,1.57,1.68,187325,0
ZCMD.US,60,20240502,160000,1.67,1.67,1.58,1.6,13157,0
ZCMD.US,60,20240502,170000,1.599,1.66,1.5702,1.6101,22097,0
ZCMD.US,60,20240502,180000,1.6492,1.67,1.62,1.6301,24465,0
ZCMD.US,60,20240502,190000,1.66,1.73,1.63,1.66,36580,0
ZCMD.US,60,20240502,200000,1.66,1.7,1.66,1.66,5078,0
ZCMD.US,60,20240502,210000,1.65,1.663,1.55,1.615,12018,0
ZCMD.US,60,20240502,220000,1.62,1.8499,1.62,1.755,220820,0
ZCMD.US,60,20240503,160000,1.7,1.7,1.6201,1.68,9080,0
ZCMD.US,60,20240503,170000,1.641,1.65,1.6014,1.64,30956,0
ZCMD.US,60,20240503,180000,1.63,1.65,1.58,1.6016,20281,0
ZCMD.US,60,20240503,190000,1.6001,1.63,1.59,1.63,5787,0
ZCMD.US,60,20240503,200000,1.5901,1.63,1.5801,1.61,2126,0
ZCMD.US,60,20240503,210000,1.6039,1.6101,1.6039,1.61,2425,0
ZCMD.US,60,20240503,220000,1.6584,1.6584,1.59,1.6,10491,0
ZCMD.US,60,20240506,160000,1.64,1.64,1.57,1.57,10773,0
ZCMD.US,60,20240506,170000,1.571,1.59,1.55,1.56,17104,0
ZCMD.US,60,20240506,180000,1.58,1.6,1.54,1.5402,10230,0
ZCMD.US,60,20240506,190000,1.54,1.55,1.5,1.52,10198,0
ZCMD.US,60,20240506,200000,1.52,1.53,1.5,1.5129,4794,0
ZCMD.US,60,20240506,210000,1.51,1.51,1.51,1.51,250,0
ZCMD.US,60,20240506,220000,1.5399,1.5399,1.48,1.5,10302,0
ZCMD.US,60,20240507,160000,1.61,1.61,1.5011,1.5214,7386,0
ZCMD.US,60,20240507,170000,1.5,1.5103,1.48,1.48,4560,0
ZCMD.US,60,20240507,180000,1.4701,1.4987,1.47,1.473,1400,0
ZCMD.US,60,20240507,190000,1.47,1.47,1.43,1.46,4725,0
ZCMD.US,60,20240507,200000,1.46,1.47,1.46,1.47,1336,0
ZCMD.US,60,20240507,210000,1.47,1.47,1.47,1.47,235,0
ZCMD.US,60,20240507,220000,1.45,1.47,1.44,1.46,1141,0
ZCMD.US,60,20240508,160000,1.42,1.45,1.4,1.41,12189,0
ZCMD.US,60,20240508,170000,1.4097,1.41,1.39,1.39,4289,0
ZCMD.US,60,20240508,180000,1.4,1.41,1.4,1.41,1500,0
ZCMD.US,60,20240508,190000,1.4289,1.4289,1.4289,1.4289,500,0
ZCMD.US,60,20240508,200000,1.43,1.461,1.43,1.4602,5370,0
ZCMD.US,60,20240508,210000,1.47,1.495,1.42,1.4235,4993,0
ZCMD.US,60,20240508,220000,1.4322,1.47,1.43,1.43,7348,0
ZCMD.US,60,20240509,160000,1.4001,1.4101,1.4,1.4,1555,0
ZCMD.US,60,20240509,170000,1.41,1.42,1.4,1.41,1155,0
ZCMD.US,60,20240509,180000,1.42,1.42,1.404,1.404,800,0
ZCMD.US,60,20240509,190000,1.43,1.4681,1.43,1.4681,400,0
ZCMD.US,60,20240509,200000,1.4211,1.4211,1.4202,1.4209,380,0
ZCMD.US,60,20240509,220000,1.42,1.42,1.42,1.42,112,0
ZCMD.US,60,20240510,160000,1.42,1.4484,1.4,1.4484,2028,0
ZCMD.US,60,20240510,170000,1.4001,1.4001,1.39,1.39,300,0
ZCMD.US,60,20240510,180000,1.423,1.423,1.38,1.389,2662,0
ZCMD.US,60,20240510,190000,1.38,1.4,1.38,1.4,1762,0
ZCMD.US,60,20240510,200000,1.42,1.42,1.38,1.38,1524,0
ZCMD.US,60,20240510,210000,1.43,1.43,1.395,1.395,300,0
ZCMD.US,60,20240510,220000,1.38,1.42,1.37,1.39,3689,0
ZCMD.US,60,20240513,160000,1.39,1.3903,1.37,1.37,2842,0
ZCMD.US,60,20240513,170000,1.3745,1.4,1.3619,1.39,1779,0
ZCMD.US,60,20240513,180000,1.363,1.41,1.363,1.37,1214,0
ZCMD.US,60,20240513,190000,1.41,1.43,1.368,1.42,1015,0
ZCMD.US,60,20240513,200000,1.4199,1.4199,1.395,1.395,3875,0
ZCMD.US,60,20240513,210000,1.41,1.46,1.41,1.46,2633,0
ZCMD.US,60,20240513,220000,1.46,1.48,1.4,1.4,8695,0
ZCMD.US,60,20240514,160000,1.31,1.45,1.31,1.45,14733,0
ZCMD.US,60,20240514,170000,1.41,1.41,1.3501,1.3501,1572,0
ZCMD.US,60,20240514,180000,1.39,1.41,1.3601,1.41,2146,0
ZCMD.US,60,20240514,190000,1.38,1.38,1.3654,1.3654,1058,0
ZCMD.US,60,20240514,210000,1.39,1.39,1.38,1.38,2840,0
ZCMD.US,60,20240514,220000,1.39,1.39,1.36,1.37,4911,0
ZCMD.US,60,20240515,160000,1.3998,1.3998,1.33,1.33,850,0
ZCMD.US,60,20240515,170000,1.37,1.37,1.34,1.35,6246,0
ZCMD.US,60,20240515,180000,1.35,1.45,1.3401,1.425,37835,0
ZCMD.US,60,20240515,190000,1.42,1.43,1.4101,1.43,800,0
ZCMD.US,60,20240515,200000,1.44,1.44,1.37,1.3788,2145,0
ZCMD.US,60,20240515,210000,1.43,1.43,1.37,1.37,400,0
ZCMD.US,60,20240515,220000,1.39,1.44,1.38,1.38,1893,0
ZCMD.US,60,20240516,160000,1.4,1.534,1.4,1.4,9871,0
ZCMD.US,60,20240516,170000,1.45,1.48,1.39,1.39,6134,0
ZCMD.US,60,20240516,180000,1.41,1.45,1.41,1.45,575,0
ZCMD.US,60,20240516,190000,1.3591,1.368,1.3591,1.368,204,0
ZCMD.US,60,20240516,200000,1.38,1.4,1.38,1.38,819,0
ZCMD.US,60,20240516,210000,1.39,1.45,1.39,1.45,1816,0
ZCMD.US,60,20240516,220000,1.44,1.45,1.44,1.45,1700,0
ZCMD.US,60,20240517,160000,1.46,1.46,1.41,1.4349,5195,0
ZCMD.US,60,20240517,170000,1.46,1.46,1.46,1.46,300,0
ZCMD.US,60,20240517,180000,1.46,1.5,1.46,1.5,21039,0
ZCMD.US,60,20240517,190000,1.4971,1.56,1.46,1.51,47445,0
ZCMD.US,60,20240517,200000,1.54,1.5842,1.52,1.52,8745,0
ZCMD.US,60,20240517,210000,1.5,1.5,1.43,1.4959,1366,0
ZCMD.US,60,20240517,220000,1.4922,1.51,1.4922,1.51,5239,0
ZCMD.US,60,20240520,160000,1.52,1.53,1.4601,1.5,13303,0
ZCMD.US,60,20240520,170000,1.49,1.49,1.46,1.48,630,0
ZCMD.US,60,20240520,180000,1.48,1.5,1.44,1.48,22389,0
ZCMD.US,60,20240520,190000,1.48,1.515,1.46,1.46,2754,0
ZCMD.US,60,20240520,210000,1.4511,1.4511,1.4511,1.4511,178,0
ZCMD.US,60,20240520,220000,1.51,1.52,1.51,1.51,5143,0
ZCMD.US,60,20240521,160000,1.5,1.5099,1.4602,1.5,1403,0
ZCMD.US,60,20240521,170000,1.48,1.5,1.45,1.5,3179,0
ZCMD.US,60,20240521,180000,1.5,1.5,1.49,1.49,500,0
ZCMD.US,60,20240521,190000,1.47,1.48,1.46,1.48,700,0
ZCMD.US,60,20240521,200000,1.49,1.49,1.47,1.49,500,0
ZCMD.US,60,20240521,210000,1.49,1.49,1.45,1.49,1961,0
