<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VEEA.US,60,20240411,200000,11.11,11.11,11.11,11.11,571,0
VEEA.US,60,20240411,220000,11.11,11.11,11.11,11.11,469,0
VEEA.US,60,20240415,160000,11.11,11.11,11.11,11.11,300,0
VEEA.US,60,20240415,220000,11.11,11.11,11.11,11.11,200,0
VEEA.US,60,20240417,170000,11.12,11.12,11.12,11.12,29772,0
VEEA.US,60,20240422,160000,11.12,11.12,11.12,11.12,150,0
VEEA.US,60,20240423,170000,11.11,11.11,11.11,11.11,130000,0
VEEA.US,60,20240423,200000,11.115,11.115,11.115,11.115,100,0
VEEA.US,60,20240430,220000,11.1,11.1322,11.1,11.1,1100,0
VEEA.US,60,20240503,180000,11.1,11.1,11.1,11.1,500,0
VEEA.US,60,20240507,210000,11.12,11.12,11.12,11.12,1552,0
VEEA.US,60,20240507,220000,11.12,11.12,11.12,11.12,100,0
VEEA.US,60,20240513,210000,11.16,11.16,11.12,11.12,200,0
VEEA.US,60,20240516,160000,11.16,11.17,11.16,11.16,9552,0
VEEA.US,60,20240516,180000,11.16,11.16,11.16,11.16,2000,0
VEEA.US,60,20240516,220000,11.16,11.16,11.16,11.16,300,0
VEEA.US,60,20240517,170000,11.17,11.17,11.16,11.16,100128,0
VEEA.US,60,20240520,160000,11.1855,11.2,11.17,11.17,28052,0
VEEA.US,60,20240521,180000,11.18,11.19,11.18,11.19,5203,0
VEEA.US,60,20240521,190000,11.18,11.18,11.18,11.18,900,0
VEEA.US,60,20240521,200000,11.18,11.18,11.18,11.18,9100,0
VEEA.US,60,20240522,160000,11.19,11.19,11.19,11.19,200,0
VEEA.US,60,20240522,180000,11.18,11.18,11.18,11.18,100,0
VEEA.US,60,20240523,160000,11.1999,11.1999,11.1999,11.1999,100,0
VEEA.US,60,20240523,170000,11.2,11.2001,11.2,11.2,2019,0
VEEA.US,60,20240523,180000,11.19,11.19,11.19,11.19,500,0
VEEA.US,60,20240528,160000,11.19,11.19,11.19,11.19,381,0
VEEA.US,60,20240528,180000,11.18,11.19,11.18,11.18,221968,0
VEEA.US,60,20240529,170000,11.19,11.19,11.19,11.19,200,0
VEEA.US,60,20240530,160000,10.8872,11,10.8872,11,500,0
VEEA.US,60,20240530,170000,11.1695,11.17,11.16,11.17,800,0
VEEA.US,60,20240530,210000,11.16,11.16,11.16,11.16,100,0
