<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VRSK.US,60,20240411,160000,224.49,224.52,223,223.16,71516,0
VRSK.US,60,20240411,170000,223,223.58,222.505,223.205,99481,0
VRSK.US,60,20240411,180000,223.092,223.46,222.65,223.4,102788,0
VRSK.US,60,20240411,190000,223.4,223.56,222.11,222.335,126012,0
VRSK.US,60,20240411,200000,222.28,224.48,222.2,224.1525,114470,0
VRSK.US,60,20240411,210000,224.23,224.43,223.89,223.94,64975,0
VRSK.US,60,20240411,220000,223.93,224.535,223.05,223.36,313039,0
VRSK.US,60,20240412,160000,222.93,223.85,222.0843,222.375,30114,0
VRSK.US,60,20240412,170000,222.23,223.01,221.95,222.47,44565,0
VRSK.US,60,20240412,180000,222.355,223.21,222.355,222.56,46723,0
VRSK.US,60,20240412,190000,222.61,222.875,221.35,221.69,71334,0
VRSK.US,60,20240412,200000,221.715,222.09,221.05,222.09,57177,0
VRSK.US,60,20240412,210000,221.93,222.26,221.625,222.005,55087,0
VRSK.US,60,20240412,220000,222,222.69,221.53,222.53,187516,0
VRSK.US,60,20240415,160000,225.03,225.03,223.9,224.57,24744,0
VRSK.US,60,20240415,170000,224.46,225.235,224.285,225.015,64843,0
VRSK.US,60,20240415,180000,224.94,226.29,224.9,226.215,28021,0
VRSK.US,60,20240415,190000,226.18,226.4,225.54,225.73,30089,0
VRSK.US,60,20240415,200000,225.725,225.725,223.645,223.86,65114,0
VRSK.US,60,20240415,210000,223.73,223.93,222.8,223.04,70443,0
VRSK.US,60,20240415,220000,223.005,223.27,222.07,222.18,394598,0
VRSK.US,60,20240416,160000,223.71,224.47,221.91,222.145,37553,0
VRSK.US,60,20240416,170000,222.016,222.6,221.6,222.08,48156,0
VRSK.US,60,20240416,180000,222.15,223.17,221.82,222.07,69843,0
VRSK.US,60,20240416,190000,221.91,222.07,221.48,221.48,105501,0
VRSK.US,60,20240416,200000,221.47,221.51,220.545,221.4,170302,0
VRSK.US,60,20240416,210000,221.3,222.16,220.86,221.94,104700,0
VRSK.US,60,20240416,220000,222.1,222.94,221.87,222.19,202647,0
VRSK.US,60,20240417,160000,223.24,223.295,221.235,222.21,38858,0
VRSK.US,60,20240417,170000,222.12,222.81,221.85,221.93,60809,0
VRSK.US,60,20240417,180000,221.9,222.085,221.085,221.53,36003,0
VRSK.US,60,20240417,190000,221.44,221.68,221.14,221.15,20465,0
VRSK.US,60,20240417,200000,221.13,221.825,220.91,221.73,46070,0
VRSK.US,60,20240417,210000,221.61,222.32,221.19,221.575,16595,0
VRSK.US,60,20240417,220000,221.37,222.42,220.97,222.25,124775,0
VRSK.US,60,20240418,160000,223.18,224.73,222.9,224.63,25029,0
VRSK.US,60,20240418,170000,224.62,225.07,224.01,224.85,42137,0
VRSK.US,60,20240418,180000,224.92,224.96,223.54,223.54,22767,0
VRSK.US,60,20240418,190000,223.54,224.12,223.33,223.52,21673,0
VRSK.US,60,20240418,200000,223.64,223.64,222.66,222.92,13062,0
VRSK.US,60,20240418,210000,222.89,223.315,222.55,223,12947,0
VRSK.US,60,20240418,220000,223.04,223.69,222.94,223.25,104292,0
VRSK.US,60,20240419,160000,224.38,224.63,222.875,223.745,53242,0
VRSK.US,60,20240419,170000,223.535,223.535,222.135,222.67,18795,0
VRSK.US,60,20240419,180000,222.53,223.2725,222.46,223.19,12171,0
VRSK.US,60,20240419,190000,223.15,223.625,223.06,223.4,37680,0
