<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VSEEW.US,60,20240626,160000,0.19,0.19,0.1699,0.1799,1389,0
VSEEW.US,60,20240626,170000,0.219599,0.219599,0.1313,0.18,9123,0
VSEEW.US,60,20240626,180000,0.17,0.17,0.1599,0.165,17151,0
VSEEW.US,60,20240626,190000,0.165,0.1798,0.135,0.1375,3048,0
VSEEW.US,60,20240626,200000,0.1375,0.1799,0.1375,0.179,7064,0
VSEEW.US,60,20240626,210000,0.179,0.179,0.1356,0.141025,8632,0
VSEEW.US,60,20240626,220000,0.16,0.1812,0.1501,0.1505,62352,0
VSEEW.US,60,20240627,160000,0.17,0.1799,0.1515,0.1515,30000,0
VSEEW.US,60,20240627,170000,0.1532,0.1799,0.1515,0.1601,29889,0
VSEEW.US,60,20240627,180000,0.163,0.1797,0.163,0.1763,1989,0
VSEEW.US,60,20240627,190000,0.1784,0.1897,0.1633,0.18,21788,0
VSEEW.US,60,20240627,200000,0.16,0.1899,0.16,0.168,3940,0
VSEEW.US,60,20240627,210000,0.1881,0.1881,0.16,0.175,6963,0
VSEEW.US,60,20240627,220000,0.165472,0.1733,0.163,0.1641,1630,0
VSEEW.US,60,20240628,160000,0.179,0.179,0.161,0.161,940,0
VSEEW.US,60,20240628,170000,0.163,0.163,0.163,0.163,100,0
VSEEW.US,60,20240628,180000,0.19,0.19,0.1725,0.1863,86373,0
VSEEW.US,60,20240628,190000,0.18625,0.306,0.18,0.2174,151411,0
VSEEW.US,60,20240628,200000,0.2125,0.2171,0.2,0.2,18000,0
VSEEW.US,60,20240628,210000,0.199751,0.199751,0.199751,0.199751,900,0
VSEEW.US,60,20240628,220000,0.22279,0.2349,0.2,0.21638,15000,0
VSEEW.US,60,20240701,160000,0.2449,0.2465,0.2163,0.2163,2413,0
VSEEW.US,60,20240701,170000,0.235,0.235,0.1621,0.1705,5340,0
VSEEW.US,60,20240701,180000,0.1998,0.3,0.1725,0.216391,185166,0
VSEEW.US,60,20240701,190000,0.23967,0.2464,0.183,0.1886,11095,0
VSEEW.US,60,20240701,200000,0.19,0.19,0.19,0.19,455,0
VSEEW.US,60,20240701,210000,0.186816,0.2299,0.186816,0.2299,26694,0
VSEEW.US,60,20240701,220000,0.2001,0.2975,0.2001,0.2375,107126,0
VSEEW.US,60,20240702,160000,0.2304,0.2575,0.207,0.207,3340,0
VSEEW.US,60,20240702,170000,0.239319,0.249,0.239319,0.2489,700,0
VSEEW.US,60,20240702,180000,0.2489,0.2489,0.2251,0.2251,686,0
VSEEW.US,60,20240702,210000,0.24,0.24,0.2083,0.2083,5000,0
VSEEW.US,60,20240702,220000,0.2144,0.2144,0.2143,0.2143,300,0
VSEEW.US,60,20240703,180000,0.235326,0.239,0.235326,0.239,1200,0
VSEEW.US,60,20240703,190000,0.239,0.2699,0.225,0.225,2700,0
VSEEW.US,60,20240705,160000,0.2747,0.2747,0.261522,0.261522,350,0
VSEEW.US,60,20240705,170000,0.26,0.26,0.225,0.25,1613,0
VSEEW.US,60,20240705,180000,0.26,0.26,0.2599,0.2599,1097,0
VSEEW.US,60,20240705,190000,0.225,0.2599,0.225,0.237,1872,0
VSEEW.US,60,20240705,200000,0.2331,0.2599,0.225,0.2252,14241,0
VSEEW.US,60,20240705,210000,0.225,0.2423,0.225,0.2423,600,0
VSEEW.US,60,20240705,220000,0.2594,0.2594,0.225,0.225,235,0
VSEEW.US,60,20240708,160000,0.2674,0.2674,0.2674,0.2674,300,0
VSEEW.US,60,20240708,170000,0.231451,0.2574,0.225,0.225,4668,0
VSEEW.US,60,20240708,180000,0.255,0.2574,0.205,0.205,1800,0
VSEEW.US,60,20240708,190000,0.2236,0.2236,0.2236,0.2236,1000,0
VSEEW.US,60,20240708,200000,0.2121,0.215626,0.21,0.21,2919,0
VSEEW.US,60,20240708,210000,0.220763,0.220763,0.220763,0.220763,300,0
VSEEW.US,60,20240708,220000,0.2342,0.2342,0.2209,0.225,6696,0
VSEEW.US,60,20240709,160000,0.225,0.25,0.225,0.25,13000,0
VSEEW.US,60,20240709,170000,0.217111,0.217111,0.217111,0.217111,600,0
VSEEW.US,60,20240709,190000,0.207,0.253554,0.206,0.2458,3472,0
VSEEW.US,60,20240709,200000,0.205,0.205,0.205,0.205,499,0
VSEEW.US,60,20240710,160000,0.205,0.2051,0.205,0.2051,13789,0
VSEEW.US,60,20240710,170000,0.205,0.205,0.17,0.17,9780,0
VSEEW.US,60,20240710,190000,0.17,0.17,0.17,0.17,134,0
VSEEW.US,60,20240710,210000,0.175,0.2039,0.175,0.1752,78132,0
VSEEW.US,60,20240710,220000,0.1752,0.18,0.175,0.175,2032,0
VSEEW.US,60,20240711,170000,0.2,0.2,0.1526,0.1658,24420,0
VSEEW.US,60,20240711,220000,0.19,0.2132,0.19,0.19,21434,0
VSEEW.US,60,20240712,160000,0.2,0.2134,0.2,0.2134,1000,0
VSEEW.US,60,20240712,170000,0.2154,0.2154,0.2134,0.2154,500,0
VSEEW.US,60,20240712,220000,0.2153,0.2153,0.2153,0.2153,114,0
VSEEW.US,60,20240715,170000,0.1533,0.1601,0.1515,0.1551,4448,0
VSEEW.US,60,20240717,190000,0.1516,0.161919,0.15,0.1515,2714,0
VSEEW.US,60,20240718,220000,0.152,0.195,0.152,0.195,2188,0
VSEEW.US,60,20240719,170000,0.21,0.21,0.21,0.21,1097,0
VSEEW.US,60,20240719,180000,0.196273,0.196273,0.196273,0.196273,600,0
VSEEW.US,60,20240719,220000,0.1975,0.1975,0.1975,0.1975,170,0
VSEEW.US,60,20240722,160000,0.2,0.2,0.2,0.2,5496,0
VSEEW.US,60,20240722,170000,0.2,0.2025,0.2,0.2021,5900,0
VSEEW.US,60,20240722,180000,0.17,0.17,0.17,0.17,100,0
VSEEW.US,60,20240722,190000,0.175251,0.1956,0.175251,0.185,6321,0
VSEEW.US,60,20240722,210000,0.185,0.185,0.185,0.185,400,0
VSEEW.US,60,20240723,160000,0.1545,0.1545,0.1545,0.1545,100,0
VSEEW.US,60,20240723,180000,0.2055,0.2074,0.153,0.153,2600,0
VSEEW.US,60,20240723,210000,0.1555,0.1555,0.153,0.153,1400,0
VSEEW.US,60,20240724,160000,0.1532,0.1532,0.1532,0.1532,200,0
VSEEW.US,60,20240724,170000,0.1965,0.1965,0.15,0.15001,10945,0
VSEEW.US,60,20240724,180000,0.15,0.15,0.15,0.15,21900,0
VSEEW.US,60,20240724,190000,0.15,0.15,0.15,0.15,600,0
VSEEW.US,60,20240724,200000,0.15,0.15,0.15,0.15,300,0
VSEEW.US,60,20240724,210000,0.185,0.185,0.15,0.15,3100,0
VSEEW.US,60,20240724,220000,0.15,0.15,0.15,0.15,100,0
VSEEW.US,60,20240725,160000,0.15,0.15,0.15,0.15,1245,0
VSEEW.US,60,20240725,170000,0.15,0.151,0.15,0.15,1503,0
VSEEW.US,60,20240725,220000,0.15,0.151,0.1313,0.1313,3633,0
VSEEW.US,60,20240729,160000,0.1313,0.1386,0.0848,0.1386,3100,0
VSEEW.US,60,20240729,190000,0.10975,0.1295,0.09,0.1295,2336,0
VSEEW.US,60,20240729,200000,0.0912,0.0912,0.0909,0.0909,415,0
VSEEW.US,60,20240729,210000,0.1035,0.1238,0.1025,0.119,55800,0
VSEEW.US,60,20240729,220000,0.119,0.119,0.1001,0.1001,278,0
VSEEW.US,60,20240730,170000,0.1049,0.11,0.0997,0.0997,2090,0
VSEEW.US,60,20240730,180000,0.0909,0.11,0.09,0.1001,13060,0
VSEEW.US,60,20240730,220000,0.1001,0.11395,0.1001,0.1139,10900,0
VSEEW.US,60,20240731,160000,0.09,0.09,0.09,0.09,300,0
VSEEW.US,60,20240731,190000,0.1002,0.1002,0.1002,0.1002,100,0
VSEEW.US,60,20240801,170000,0.1002,0.1002,0.1002,0.1002,100,0
VSEEW.US,60,20240802,160000,0.22,0.22,0.1301,0.1353,79776,0
VSEEW.US,60,20240802,170000,0.1366,0.169899,0.13,0.1402,13683,0
VSEEW.US,60,20240802,180000,0.15,0.18,0.1412,0.1593,14490,0
VSEEW.US,60,20240802,190000,0.152,0.165,0.143,0.16,600,0
VSEEW.US,60,20240802,200000,0.16,0.1683,0.16,0.1659,9706,0
VSEEW.US,60,20240802,210000,0.16,0.16975,0.16,0.16,6716,0
VSEEW.US,60,20240802,220000,0.16,0.1794,0.131,0.1313,22851,0
VSEEW.US,60,20240805,170000,0.125,0.125,0.0785,0.0785,2008,0
VSEEW.US,60,20240805,200000,0.081638,0.081638,0.081638,0.081638,10535,0
VSEEW.US,60,20240805,210000,0.0822,0.0822,0.0816,0.0816,300,0
VSEEW.US,60,20240805,220000,0.097,0.097,0.097,0.097,100,0
VSEEW.US,60,20240806,160000,0.1,0.1,0.1,0.1,2386,0
VSEEW.US,60,20240806,170000,0.1,0.11,0.1,0.11,5684,0
VSEEW.US,60,20240806,180000,0.115,0.1588,0.115,0.1501,23960,0
VSEEW.US,60,20240806,190000,0.1501,0.1625,0.15,0.15,1800,0
VSEEW.US,60,20240806,200000,0.15,0.1571,0.1111,0.1111,21800,0
VSEEW.US,60,20240806,210000,0.1113,0.1113,0.1113,0.1113,600,0
VSEEW.US,60,20240806,220000,0.1113,0.1113,0.1113,0.1113,110,0
VSEEW.US,60,20240807,190000,0.162161,0.162161,0.12,0.13555,885,0
VSEEW.US,60,20240807,200000,0.1113,0.1113,0.1113,0.1113,100,0
VSEEW.US,60,20240808,190000,0.1655,0.1655,0.1655,0.1655,400,0
VSEEW.US,60,20240808,200000,0.1399,0.14,0.1399,0.14,442,0
VSEEW.US,60,20240808,210000,0.14,0.14,0.14,0.14,321,0
VSEEW.US,60,20240808,220000,0.14,0.14,0.1115,0.1115,781,0
VSEEW.US,60,20240809,210000,0.126044,0.126044,0.126044,0.126044,100,0
VSEEW.US,60,20240812,170000,0.1149,0.128399,0.1149,0.123,1400,0
VSEEW.US,60,20240812,180000,0.123,0.123,0.123,0.123,100,0
VSEEW.US,60,20240812,190000,0.123,0.123,0.123,0.123,859,0
VSEEW.US,60,20240812,210000,0.123,0.1251,0.123,0.1251,300,0
VSEEW.US,60,20240813,170000,0.105528,0.105528,0.105528,0.105528,623,0
VSEEW.US,60,20240813,220000,0.1,0.101,0.0801,0.0801,4367,0
VSEEW.US,60,20240814,180000,0.081,0.1263,0.081,0.12,827,0
VSEEW.US,60,20240814,210000,0.108265,0.108265,0.108265,0.108265,235,0
VSEEW.US,60,20240815,170000,0.0833,0.0833,0.0833,0.0833,230,0
VSEEW.US,60,20240816,160000,0.08844,0.08844,0.08844,0.08844,1000,0
VSEEW.US,60,20240816,210000,0.0841,0.1125,0.0833,0.0835,2674,0
VSEEW.US,60,20240820,160000,0.0801,0.0801,0.0801,0.0801,200,0
VSEEW.US,60,20240820,190000,0.0801,0.0809,0.0801,0.0809,1700,0
VSEEW.US,60,20240820,200000,0.0808,0.0808,0.0808,0.0808,100,0
VSEEW.US,60,20240820,210000,0.0785,0.07851,0.0785,0.07851,300,0
VSEEW.US,60,20240821,200000,0.058,0.058,0.0575,0.0575,200,0
VSEEW.US,60,20240822,170000,0.0551,0.0599,0.0551,0.0599,300,0
VSEEW.US,60,20240822,180000,0.0506,0.0506,0.0506,0.0506,200,0
VSEEW.US,60,20240822,200000,0.0502,0.0502,0.0502,0.0502,242,0
VSEEW.US,60,20240826,210000,0.0594,0.0594,0.0594,0.0594,200,0
VSEEW.US,60,20240827,160000,0.052549,0.052549,0.0506,0.0506,400,0
VSEEW.US,60,20240827,170000,0.0506,0.0506,0.05,0.05,2366,0
VSEEW.US,60,20240827,180000,0.0363,0.0363,0.0363,0.0363,100,0
VSEEW.US,60,20240827,190000,0.0495,0.05,0.0495,0.0499,1364,0
VSEEW.US,60,20240829,200000,0.0368,0.05,0.0368,0.05,1929,0
VSEEW.US,60,20240830,220000,0.0404,0.0404,0.0376,0.0376,2600,0
VSEEW.US,60,20240903,180000,0.0379,0.0379,0.0376,0.0377,2200,0
VSEEW.US,60,20240903,190000,0.0376,0.0493,0.0376,0.0493,2100,0
VSEEW.US,60,20240903,200000,0.0404,0.0404,0.04,0.040101,5055,0
VSEEW.US,60,20240903,210000,0.04,0.04,0.04,0.04,200,0
VSEEW.US,60,20240909,170000,0.0401,0.0437,0.0401,0.0401,15400,0
VSEEW.US,60,20240912,180000,0.0402,0.0402,0.0402,0.0402,5500,0
VSEEW.US,60,20240913,160000,0.0376,0.0376,0.0376,0.0376,4700,0
VSEEW.US,60,20240913,170000,0.0376,0.0376,0.0371,0.0371,3500,0
VSEEW.US,60,20240913,180000,0.0365,0.0365,0.0365,0.0365,100,0
VSEEW.US,60,20240913,220000,0.0381,0.0381,0.037,0.037,250,0
VSEEW.US,60,20240916,190000,0.031262,0.031262,0.031262,0.031262,3000,0
VSEEW.US,60,20240917,170000,0.034195,0.034195,0.034195,0.034195,500,0
