<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TACOU.US,60,20250430,170000,10.1,10.215,10.095,10.185,2718627,0
TACOU.US,60,20250430,180000,10.185,10.25,10.16,10.18,529126,0
TACOU.US,60,20250430,190000,10.17,10.185,10.16,10.17,568389,0
TACOU.US,60,20250430,200000,10.165,10.185,10.16,10.16,359644,0
TACOU.US,60,20250430,210000,10.16,10.165,10.14,10.155,1238884,0
TACOU.US,60,20250430,220000,10.15,10.165,10.15,10.165,99974,0
TACOU.US,60,20250501,160000,10.19,10.19,10.15,10.18,213010,0
TACOU.US,60,20250501,170000,10.18,10.18,10.16,10.165,1243450,0
TACOU.US,60,20250501,180000,10.165,10.165,10.15,10.15,197146,0
TACOU.US,60,20250501,190000,10.15,10.155,10.15,10.15,234728,0
TACOU.US,60,20250501,200000,10.15,10.155,10.15,10.15,328481,0
TACOU.US,60,20250501,210000,10.1401,10.15,10.14,10.15,192058,0
TACOU.US,60,20250501,220000,10.14,10.145,10.14,10.14,41101,0
TACOU.US,60,20250502,160000,10.15,10.18,10.15,10.17,48575,0
TACOU.US,60,20250502,170000,10.18,10.18,10.15,10.15,241479,0
TACOU.US,60,20250502,180000,10.16,10.16,10.15,10.16,121000,0
TACOU.US,60,20250502,190000,10.155,10.155,10.155,10.155,400,0
TACOU.US,60,20250502,210000,10.16,10.16,10.1561,10.1561,5984,0
TACOU.US,60,20250502,220000,10.1592,10.1592,10.15,10.15,51503,0
TACOU.US,60,20250505,160000,10.18,10.185,10.165,10.175,74276,0
TACOU.US,60,20250505,170000,10.175,10.18,10.175,10.18,200,0
TACOU.US,60,20250505,190000,10.18,10.185,10.175,10.185,121131,0
TACOU.US,60,20250505,200000,10.185,10.185,10.185,10.185,28149,0
TACOU.US,60,20250505,220000,10.19,10.19,10.18,10.18,53360,0
TACOU.US,60,20250506,180000,10.19,10.19,10.19,10.19,100,0
TACOU.US,60,20250506,210000,10.2,10.2,10.2,10.2,200,0
TACOU.US,60,20250506,220000,10.19,10.19,10.18,10.18,34900,0
TACOU.US,60,20250507,180000,10.21,10.21,10.21,10.21,200,0
TACOU.US,60,20250507,190000,10.18,10.181,10.18,10.18,12898,0
TACOU.US,60,20250507,200000,10.185,10.19,10.185,10.19,9100,0
TACOU.US,60,20250507,210000,10.19,10.19,10.19,10.19,1000,0
TACOU.US,60,20250507,220000,10.2,10.2,10.195,10.195,31963,0
TACOU.US,60,20250508,170000,10.22,10.22,10.22,10.22,415,0
TACOU.US,60,20250508,180000,10.21,10.21,10.21,10.21,200,0
TACOU.US,60,20250509,190000,10.1854,10.1854,10.18,10.18,8137,0
TACOU.US,60,20250509,210000,10.2,10.2,10.2,10.2,100000,0
TACOU.US,60,20250509,220000,10.2,10.2,10.195,10.2,7697,0
TACOU.US,60,20250512,170000,10.169,10.2,10.16,10.2,10100,0
TACOU.US,60,20250512,180000,10.18,10.18,10.18,10.18,200,0
TACOU.US,60,20250512,190000,10.2,10.22,10.185,10.22,39603,0
TACOU.US,60,20250512,210000,10.22,10.22,10.22,10.22,500,0
TACOU.US,60,20250512,220000,10.22,10.22,10.22,10.22,200,0
TACOU.US,60,20250513,160000,10.2,10.2,10.2,10.2,46552,0
TACOU.US,60,20250513,190000,10.2,10.2,10.2,10.2,123350,0
TACOU.US,60,20250513,210000,10.22,10.22,10.22,10.22,699,0
TACOU.US,60,20250513,220000,10.2172,10.22,10.21,10.21,4574,0
TACOU.US,60,20250514,160000,10.1705,10.21,10.17,10.21,6500,0
TACOU.US,60,20250514,170000,10.2,10.2,10.19,10.19,9000,0
TACOU.US,60,20250514,180000,10.19,10.2,10.19,10.2,1057,0
TACOU.US,60,20250514,190000,10.2,10.21,10.2,10.2028,11989,0
TACOU.US,60,20250514,200000,10.2,10.2,10.2,10.2,100,0
TACOU.US,60,20250514,210000,10.2,10.2,10.2,10.2,100,0
TACOU.US,60,20250514,220000,10.21,10.22,10.205,10.21,22650,0
TACOU.US,60,20250515,160000,10.17,10.171,10.17,10.171,5000,0
TACOU.US,60,20250515,170000,10.19,10.19,10.19,10.19,1500,0
TACOU.US,60,20250515,180000,10.2,10.2,10.19,10.2,12650,0
TACOU.US,60,20250515,210000,10.22,10.22,10.22,10.22,867,0
TACOU.US,60,20250515,220000,10.2,10.205,10.195,10.205,19333,0
TACOU.US,60,20250516,190000,10.23,10.23,10.22,10.22,800,0
TACOU.US,60,20250516,200000,10.22,10.22,10.22,10.22,308,0
TACOU.US,60,20250516,210000,10.1901,10.1901,10.1901,10.1901,19265,0
TACOU.US,60,20250516,220000,10.22,10.22,10.2,10.2,10857,0
TACOU.US,60,20250519,170000,10.23,10.23,10.23,10.23,1000,0
TACOU.US,60,20250519,210000,10.23,10.23,10.23,10.23,128,0
TACOU.US,60,20250520,200000,10.2001,10.2013,10.2,10.2,69300,0
TACOU.US,60,20250520,210000,10.2069,10.21,10.2069,10.21,341,0
TACOU.US,60,20250520,220000,10.21,10.21,10.21,10.21,223,0
TACOU.US,60,20250521,170000,10.21,10.21,10.2,10.2,50668,0
TACOU.US,60,20250521,190000,10.2109,10.2109,10.2109,10.2109,1000,0
TACOU.US,60,20250521,200000,10.21,10.21,10.205,10.21,23167,0
TACOU.US,60,20250522,170000,10.181,10.2,10.17,10.2,65000,0
TACOU.US,60,20250522,180000,10.2,10.22,10.185,10.205,173924,0
TACOU.US,60,20250522,190000,10.22,10.22,10.2,10.2,106750,0
TACOU.US,60,20250522,200000,10.21,10.21,10.21,10.21,815,0
TACOU.US,60,20250522,210000,10.2,10.22,10.2,10.21,2830,0
TACOU.US,60,20250523,200000,10.22,10.23,10.22,10.22,21153,0
TACOU.US,60,20250523,210000,10.22,10.3,10.22,10.3,32788,0
TACOU.US,60,20250523,220000,10.255,10.3,10.235,10.235,114085,0
TACOU.US,60,20250527,170000,10.25,10.25,10.25,10.25,800,0
TACOU.US,60,20250527,180000,10.22,10.22,10.22,10.22,300,0
TACOU.US,60,20250527,190000,10.22,10.23,10.21,10.21,37800,0
TACOU.US,60,20250527,200000,10.22,10.2285,10.22,10.2285,26900,0
TACOU.US,60,20250527,210000,10.22,10.225,10.21,10.22,22400,0
TACOU.US,60,20250527,220000,10.21,10.22,10.21,10.22,1682,0
TACOU.US,60,20250528,160000,10.22,10.22,10.22,10.22,25000,0
TACOU.US,60,20250528,200000,10.2202,10.2202,10.22,10.22,10246,0
TACOU.US,60,20250528,210000,10.23,10.235,10.23,10.235,1200,0
TACOU.US,60,20250528,220000,10.235,10.235,10.235,10.235,100,0
TACOU.US,60,20250529,160000,10.245,10.25,10.24,10.24,1200,0
TACOU.US,60,20250529,190000,10.24,10.25,10.24,10.25,79900,0
TACOU.US,60,20250529,200000,10.25,10.28,10.25,10.25,65460,0
TACOU.US,60,20250529,210000,10.25,10.26,10.25,10.26,462352,0
TACOU.US,60,20250529,220000,10.25,10.25,10.2,10.25,135660,0
TACOU.US,60,20250530,190000,10.26,10.26,10.25,10.25,97832,0
TACOU.US,60,20250530,200000,10.26,10.2688,10.25,10.26,539961,0
TACOU.US,60,20250530,210000,10.27,10.27,10.26,10.26,234312,0
TACOU.US,60,20250602,160000,10.26,10.28,10.26,10.28,51100,0
TACOU.US,60,20250602,170000,10.2785,10.33,10.275,10.33,187739,0
TACOU.US,60,20250602,180000,10.32,10.4,10.32,10.38,100047,0
TACOU.US,60,20250602,190000,10.36,10.4,10.35,10.39,76146,0
TACOU.US,60,20250602,200000,10.3935,10.4,10.39,10.3913,74161,0
TACOU.US,60,20250602,210000,10.395,10.4,10.39,10.395,26721,0
TACOU.US,60,20250602,220000,10.39,10.4,10.365,10.4,17421,0
TACOU.US,60,20250603,160000,10.82,10.9,10.8,10.81,780297,0
TACOU.US,60,20250603,170000,10.81,10.825,10.78,10.815,273194,0
TACOU.US,60,20250603,180000,10.8,10.83,10.79,10.8,633721,0
TACOU.US,60,20250603,190000,10.8,10.81,10.76,10.78,134068,0
TACOU.US,60,20250603,200000,10.77,10.8,10.75,10.8,95763,0
TACOU.US,60,20250603,210000,10.795,10.8,10.79,10.7999,149455,0
TACOU.US,60,20250603,220000,10.79,10.81,10.77,10.78,278532,0
TACOU.US,60,20250604,160000,10.82,10.82,10.78,10.78,60118,0
TACOU.US,60,20250604,170000,10.79,10.79,10.76,10.77,30646,0
TACOU.US,60,20250604,180000,10.77,10.84,10.765,10.8,171354,0
TACOU.US,60,20250604,190000,10.8,10.82,10.76,10.8,27380,0
TACOU.US,60,20250604,200000,10.8,10.8,10.78,10.7972,4211,0
TACOU.US,60,20250604,210000,10.8,10.8,10.79,10.8,18809,0
TACOU.US,60,20250604,220000,10.8,10.8,10.775,10.8,69766,0
TACOU.US,60,20250605,160000,10.8,10.84,10.75,10.75,110250,0
TACOU.US,60,20250605,170000,10.7501,10.78,10.71,10.71,122914,0
TACOU.US,60,20250605,180000,10.71,10.715,10.6914,10.705,160883,0
TACOU.US,60,20250605,190000,10.71,10.71,10.68,10.68,64300,0
TACOU.US,60,20250605,200000,10.68,10.68,10.56,10.6,101445,0
TACOU.US,60,20250605,210000,10.62,10.62,10.56,10.6162,48504,0
TACOU.US,60,20250605,220000,10.615,10.65,10.55,10.6,136603,0
TACOU.US,60,20250606,160000,10.63,10.6899,10.565,10.63,46302,0
TACOU.US,60,20250606,170000,10.65,10.67,10.64,10.6501,19615,0
TACOU.US,60,20250606,180000,10.65,10.7,10.65,10.69,107497,0
TACOU.US,60,20250606,190000,10.69,10.6991,10.69,10.69,11730,0
TACOU.US,60,20250606,200000,10.69,10.695,10.675,10.675,24609,0
