<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WTMY.US,60,20250403,170000,25.14,25.14,25.14,25.14,100,0
WTMY.US,60,20250403,210000,25.19,25.19,25.1898,25.1898,800,0
WTMY.US,60,20250407,190000,25.26,25.26,25.2,25.2,1400,0
WTMY.US,60,20250407,200000,25.16,25.16,25.12,25.12,3000,0
WTMY.US,60,20250407,220000,25.09,25.09,25.09,25.09,1100,0
WTMY.US,60,20250408,160000,25.13,25.13,25.13,25.13,100,0
WTMY.US,60,20250408,170000,24.6,24.6,24.6,24.6,200,0
WTMY.US,60,20250408,200000,24.56,24.56,24.54,24.54,2000,0
WTMY.US,60,20250409,180000,24.1,24.1,24.1,24.1,500,0
WTMY.US,60,20250409,210000,24.35,24.35,24.35,24.35,172,0
WTMY.US,60,20250409,220000,24.4599,24.4599,24.4599,24.4599,100,0
WTMY.US,60,20250410,160000,24.7,24.7,24.7,24.7,1000,0
WTMY.US,60,20250410,200000,24.52,24.57,24.52,24.57,2800,0
WTMY.US,60,20250411,160000,24.38,24.38,24.38,24.38,1000,0
WTMY.US,60,20250411,170000,24.36,24.37,24.28,24.28,1200,0
WTMY.US,60,20250414,160000,24.47,24.47,24.47,24.47,1000,0
WTMY.US,60,20250414,200000,24.53,24.53,24.53,24.53,1000,0
WTMY.US,60,20250414,210000,24.55,24.55,24.55,24.55,1000,0
WTMY.US,60,20250414,220000,24.53,24.53,24.53,24.53,1000,0
WTMY.US,60,20250415,200000,24.63,24.63,24.63,24.63,15360,0
WTMY.US,60,20250416,210000,24.62,24.68,24.6,24.65,59125,0
WTMY.US,60,20250416,220000,24.65,24.65,24.65,24.65,300,0
WTMY.US,60,20250417,160000,24.86,24.86,24.86,24.86,200,0
WTMY.US,60,20250417,200000,25.0547,25.0547,25.0547,25.0547,200,0
WTMY.US,60,20250417,210000,24.58,24.58,24.58,24.58,100,0
WTMY.US,60,20250422,220000,24.52,24.53,24.46,24.5,5360,0
WTMY.US,60,20250423,160000,24.73,24.73,24.72,24.72,200,0
WTMY.US,60,20250423,170000,24.71,24.71,24.71,24.71,200,0
WTMY.US,60,20250501,220000,24.95,24.95,24.95,24.95,443,0
WTMY.US,60,20250505,190000,24.93,24.93,24.88,24.88,1300,0
WTMY.US,60,20250505,200000,24.88,24.88,24.88,24.88,700,0
WTMY.US,60,20250505,210000,24.88,24.92,24.88,24.92,8400,0
WTMY.US,60,20250506,170000,24.92,24.92,24.92,24.92,8945,0
WTMY.US,60,20250514,220000,24.9,24.9,24.9,24.9,100,0
WTMY.US,60,20250515,180000,24.96,24.96,24.96,24.96,500,0
WTMY.US,60,20250515,190000,24.97,24.97,24.97,24.97,500,0
WTMY.US,60,20250515,200000,24.98,24.98,24.98,24.98,200,0
WTMY.US,60,20250516,160000,24.95,24.95,24.95,24.95,181,0
WTMY.US,60,20250521,200000,24.84,24.84,24.84,24.84,200,0
WTMY.US,60,20250521,210000,24.82,24.82,24.82,24.82,300,0
WTMY.US,60,20250521,220000,24.82,24.87,24.82,24.82,1800,0
WTMY.US,60,20250527,170000,24.77,24.84,24.77,24.83,700,0
WTMY.US,60,20250527,180000,24.85,24.85,24.85,24.85,400,0
WTMY.US,60,20250527,190000,24.86,24.87,24.84,24.85,2300,0
WTMY.US,60,20250527,200000,24.86,24.86,24.84,24.85,600,0
WTMY.US,60,20250527,220000,24.84,24.86,24.84,24.86,400,0
WTMY.US,60,20250529,180000,24.85,24.85,24.85,24.85,800,0
WTMY.US,60,20250529,190000,24.85,24.85,24.85,24.85,700,0
WTMY.US,60,20250529,200000,24.85,24.85,24.85,24.85,180,0
WTMY.US,60,20250529,210000,24.86,24.88,24.86,24.88,700,0
WTMY.US,60,20250529,220000,24.88,24.88,24.88,24.88,100,0
WTMY.US,60,20250602,160000,24.86,24.86,24.84,24.84,2100,0
WTMY.US,60,20250603,170000,24.78,24.78,24.78,24.78,100,0
WTMY.US,60,20250604,190000,24.79,24.87,24.79,24.865,600,0
WTMY.US,60,20250605,170000,24.88,24.88,24.88,24.88,100,0
WTMY.US,60,20250611,220000,24.87,24.93,24.87,24.93,5167,0
WTMY.US,60,20250612,200000,24.96,24.96,24.96,24.96,100,0
WTMY.US,60,20250612,220000,24.93,24.96,24.93,24.93,4300,0
WTMY.US,60,20250613,180000,24.925,24.97,24.89,24.96,2900,0
WTMY.US,60,20250613,220000,24.96,24.96,24.96,24.96,100,0
WTMY.US,60,20250627,160000,24.95,24.95,24.95,24.95,100,0
WTMY.US,60,20250627,210000,24.94,24.94,24.94,24.94,100,0
WTMY.US,60,20250630,160000,24.969,24.97,24.935,24.94,5084,0
WTMY.US,60,20250714,190000,24.889,24.889,24.889,24.889,234,0
WTMY.US,60,20250715,160000,24.91,24.91,24.85,24.85,350,0
WTMY.US,60,20250716,170000,24.81,24.81,24.81,24.81,100,0
WTMY.US,60,20250717,220000,24.71,24.71,24.64,24.64,200,0
WTMY.US,60,20250718,160000,24.6531,24.6531,24.6531,24.6531,610,0
WTMY.US,60,20250721,190000,24.67,24.67,24.62,24.63,2803,0
