<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TDAC.US,60,20250213,190000,10.005,10.01,10.005,10.01,15100,0
TDAC.US,60,20250213,200000,10.005,10.01,10.005,10.01,89737,0
TDAC.US,60,20250213,220000,10.01,10.01,10,10.01,29181,0
TDAC.US,60,20250214,160000,10.01,10.01,10.01,10.01,77289,0
TDAC.US,60,20250214,170000,10.01,10.01,10.01,10.01,125053,0
TDAC.US,60,20250214,190000,10,10,10,10,400000,0
TDAC.US,60,20250214,200000,10,10.01,10,10.01,270100,0
TDAC.US,60,20250214,220000,10.01,10.01,10,10,4200,0
TDAC.US,60,20250218,190000,10.01,10.01,10.01,10.01,5100,0
TDAC.US,60,20250218,220000,10.01,10.01,10,10,361550,0
TDAC.US,60,20250219,170000,10,10,10,10,275000,0
TDAC.US,60,20250219,180000,10.01,10.01,10.01,10.01,100000,0
TDAC.US,60,20250219,200000,10.01,10.01,10.01,10.01,100,0
TDAC.US,60,20250219,220000,10,10.005,10,10,15700,0
TDAC.US,60,20250220,170000,10,10.005,10,10.005,52800,0
TDAC.US,60,20250220,180000,10,10,10,10,1000,0
TDAC.US,60,20250220,200000,10.01,10.01,10.01,10.01,54600,0
TDAC.US,60,20250220,220000,10.01,10.01,10,10.01,59300,0
TDAC.US,60,20250221,160000,10.01,10.02,10.01,10.02,100788,0
TDAC.US,60,20250221,170000,10.02,10.02,10.02,10.02,2000,0
TDAC.US,60,20250221,180000,10.01,10.02,10.01,10.02,276250,0
TDAC.US,60,20250221,200000,10.01,10.01,10.01,10.01,2829,0
TDAC.US,60,20250224,170000,10.02,10.02,10.02,10.02,5100,0
TDAC.US,60,20250224,220000,10.02,10.025,10.01,10.02,187657,0
TDAC.US,60,20250225,160000,10.02,10.02,10.02,10.02,49700,0
TDAC.US,60,20250225,170000,10.02,10.02,10.02,10.02,89389,0
TDAC.US,60,20250225,200000,10.02,10.02,10.02,10.02,2147,0
TDAC.US,60,20250225,220000,10.02,10.02,10.02,10.02,1498,0
TDAC.US,60,20250226,210000,10.02,10.02,10.02,10.02,79344,0
TDAC.US,60,20250226,220000,10.02,10.02,10.02,10.02,925,0
TDAC.US,60,20250227,170000,10.02,10.02,10.02,10.02,25787,0
TDAC.US,60,20250227,200000,10.02,10.02,10.02,10.02,1440,0
TDAC.US,60,20250227,220000,10.02,10.02,10.02,10.02,2600,0
TDAC.US,60,20250228,180000,10.02,10.02,10.02,10.02,65000,0
TDAC.US,60,20250228,190000,10.02,10.02,10.02,10.02,3279,0
