<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZENA.US,60,20241002,160000,6.75,7.3527,6.09,7.3527,32469,0
ZENA.US,60,20241002,170000,7.2173,7.4699,6.61,6.9789,34908,0
ZENA.US,60,20241002,180000,6.75,6.8563,6.4,6.4301,13109,0
ZENA.US,60,20241002,190000,6.53,6.9,6.48,6.9,20393,0
ZENA.US,60,20241002,200000,6.71,6.9,6.22,6.5,17995,0
ZENA.US,60,20241002,210000,6.37,6.71,6.27,6.7,18836,0
ZENA.US,60,20241002,220000,6.7,6.84,6.19,6.5587,28167,0
ZENA.US,60,20241003,160000,6.5,6.75,6.42,6.5443,14097,0
ZENA.US,60,20241003,170000,6.55,6.7,6.1276,6.2159,26526,0
ZENA.US,60,20241003,180000,6.18,6.2275,5.41,5.9302,21587,0
ZENA.US,60,20241003,190000,5.8951,6.02,5.8951,6,1918,0
ZENA.US,60,20241003,200000,6.0031,6.0031,5.91,6,2590,0
ZENA.US,60,20241003,210000,6,6,5.85,5.85,3366,0
ZENA.US,60,20241003,220000,5.75,5.875,5.56,5.56,13397,0
ZENA.US,60,20241004,160000,5.55,5.7,5.5326,5.5326,1995,0
ZENA.US,60,20241004,170000,5.35,5.47,4.29,4.8899,40919,0
ZENA.US,60,20241004,180000,4.89,4.89,4.06,4.345,23826,0
ZENA.US,60,20241004,190000,4.5738,4.5838,4.2601,4.2601,3232,0
ZENA.US,60,20241004,200000,4.46,4.56,4.055,4.1,28077,0
ZENA.US,60,20241004,210000,4.2,4.27,3.948,4.07,62409,0
ZENA.US,60,20241004,220000,4.08,4.15,3.9001,3.91,15886,0
ZENA.US,60,20241007,160000,3.95,3.953,2.9683,2.9683,21923,0
ZENA.US,60,20241007,170000,2.95,3.83,2.89,3.3688,71336,0
ZENA.US,60,20241007,180000,3.39,3.57,3.0501,3.23,14722,0
ZENA.US,60,20241007,190000,3.11,3.21,3.05,3.21,17461,0
ZENA.US,60,20241007,200000,3.0909,3.29,3.0601,3.1,14592,0
ZENA.US,60,20241007,210000,3.1,3.2,2.71,2.71,17070,0
ZENA.US,60,20241007,220000,2.86,2.9,2.59,2.722,42522,0
