<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NRGD.US,D,20250220,000000,23.8806,25,23.8806,23.8806,840,0
NRGD.US,D,20250224,000000,25.66,25.99,25.66,25.88,824,0
NRGD.US,D,20250304,000000,31.355,31.86,30.3289,30.3289,801,0
NRGD.US,D,20250305,000000,33.17,33.66,31.82,32.45,2619,0
NRGD.US,D,20250306,000000,32.44,32.44,31.1795,31.1795,2116,0
NRGD.US,D,20250311,000000,29.77,29.91,29.77,29.8904,976,0
NRGD.US,D,20250314,000000,27.72,27.72,27.4237,27.4237,457,0
NRGD.US,D,20250317,000000,26.83,26.83,26.0516,26.0516,3207,0
NRGD.US,D,20250318,000000,25.6,25.8392,25.6,25.8392,180,0
NRGD.US,D,20250321,000000,25.2,25.2,24.9629,24.9629,240,0
NRGD.US,D,20250402,000000,23.83,23.83,23.5249,23.5249,270,0
NRGD.US,D,20250403,000000,29.47,30.6899,29.47,30.6899,7027,0
NRGD.US,D,20250404,000000,34.63,38.73,34.63,38.6898,12467,0
NRGD.US,D,20250407,000000,42.87,46,36.9583,40.11,19865,0
NRGD.US,D,20250408,000000,37.195,43.9789,36.32,43.9789,3202,0
NRGD.US,D,20250409,000000,45.7114,46.73,30.1,31.2518,13394,0
NRGD.US,D,20250410,000000,34.9,38.75,34.9,38.7158,2705,0
NRGD.US,D,20250411,000000,39.96,39.96,35.8802,35.8802,1245,0
NRGD.US,D,20250416,000000,34.3099,35.7393,34.3099,35.7393,3074,0
NRGD.US,D,20250417,000000,32.25,35.14,31.491,32.7358,2221,0
NRGD.US,D,20250421,000000,35.11,35.11,34.6629,34.6629,361,0
NRGD.US,D,20250422,000000,31.76,31.76,31.5597,31.5597,264,0
NRGD.US,D,20250423,000000,30.7,31.1029,30.02,31.1029,1033,0
NRGD.US,D,20250424,000000,30.67,30.67,29.8971,29.8971,1098,0
NRGD.US,D,20250425,000000,30.45,30.45,30.0656,30.0656,1345,0
NRGD.US,D,20250428,000000,30.05,30.05,29.11,29.113,1129,0
NRGD.US,D,20250429,000000,29.57,29.6454,29.57,29.6454,274,0
NRGD.US,D,20250430,000000,32.12,32.12,31.54,31.54,2475,0
NRGD.US,D,20250501,000000,29.78,31.12,29.7654,30.7012,1510,0
NRGD.US,D,20250502,000000,29.61,29.61,29.2991,29.2991,791,0
NRGD.US,D,20250506,000000,31.05,31.05,30.6093,30.9116,906,0
NRGD.US,D,20250507,000000,32,32,31.4051,31.4051,479,0
NRGD.US,D,20250508,000000,27.89,28.4995,27.7,28.4995,1016,0
NRGD.US,D,20250509,000000,27.71,28.04,27.65,27.7704,785,0
NRGD.US,D,20250512,000000,23.2148,24.55,23.2148,24.5297,6685,0
NRGD.US,D,20250514,000000,23.47,23.47,23.3264,23.3264,983,0
NRGD.US,D,20250515,000000,24.34,24.56,23.2226,23.2226,2743,0
NRGD.US,D,20250516,000000,23.22,23.4416,23.22,23.4416,600,0
NRGD.US,D,20250519,000000,24.35,24.65,24.35,24.4244,527,0
NRGD.US,D,20250520,000000,24.7,25.1015,24.7,25.1015,1118,0
NRGD.US,D,20250521,000000,26.32,26.8195,26.0831,26.8195,2472,0
NRGD.US,D,20250603,000000,24.54,24.6997,24.2501,24.6997,3669,0
NRGD.US,D,20250604,000000,26.43,26.43,26.3267,26.3267,785,0
NRGD.US,D,20250605,000000,26.3,26.6173,26.0475,26.6173,1440,0
NRGD.US,D,20250609,000000,24.48,24.48,24.01,24.411,3036,0
NRGD.US,D,20250611,000000,22.72,22.72,21.6108,21.6108,3511,0
NRGD.US,D,20250612,000000,21.62,21.6694,21.4263,21.4263,2254,0
NRGD.US,D,20250613,000000,20,20.7356,20,20.1943,5765,0
NRGD.US,D,20250616,000000,20.29,20.91,19.98,20.4028,17612,0
NRGD.US,D,20250617,000000,19.14,19.47,19.05,19.4541,6859,0
NRGD.US,D,20250618,000000,19.99,20.1353,19.99,20.1353,801,0
NRGD.US,D,20250620,000000,19.91,19.96,19.54,19.6592,2711,0
NRGD.US,D,20250623,000000,19.4754,21.48,19.4754,21.3841,7202,0
NRGD.US,D,20250624,000000,22.0765,22.5252,21.66,22.5252,4701,0
NRGD.US,D,20250625,000000,23,23,22.1,22.6491,8216,0
NRGD.US,D,20250626,000000,22.59,22.59,21.81,21.8912,2788,0
NRGD.US,D,20250627,000000,22.3606,22.3606,22.3369,22.3369,408,0
NRGD.US,D,20250701,000000,22.728,22.9313,21.06,21.4596,2696,0
NRGD.US,D,20250703,000000,19.9,19.9,19.8406,19.8406,488,0
NRGD.US,D,20250708,000000,19.1,19.1,18.2,18.2951,4525,0
NRGD.US,D,20250709,000000,18.54,18.64,18.41,18.4983,1794,0
NRGD.US,D,20250710,000000,18.01,18.21,17.7866,17.7866,3367,0
NRGD.US,D,20250711,000000,17.8,17.8,17.689,17.7922,992,0
NRGD.US,D,20250714,000000,18.3967,18.8327,18.3967,18.8327,3964,0
NRGD.US,D,20250715,000000,19.1,19.65,19.1,19.5568,1061,0
NRGD.US,D,20250717,000000,20.02,20.1636,19.7581,19.7581,2816,0
NRGD.US,D,20250718,000000,18.85,19.8967,18.83,19.8967,16987,0
NRGD.US,D,20250721,000000,19.76,19.77,19.7332,19.7418,728,0
